plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid
GJ 3470 b,1.5010,,,,0.07801,
GJ 3470 b,1.5060,,,,0.07541,
GJ 3470 b,1.5100,,,,0.07906,
GJ 3470 b,1.5150,,,,0.07506,
GJ 3470 b,1.5200,,,,0.07624,
GJ 3470 b,1.5240,,,,0.07865,
GJ 3470 b,1.5290,,,,0.07707,
GJ 3470 b,1.5340,,,,0.07780,
GJ 3470 b,1.5380,,,,0.07305,
GJ 3470 b,1.5430,,,,0.07378,
GJ 3470 b,1.5480,,,,0.07773,
GJ 3470 b,1.5520,,,,0.07739,
GJ 3470 b,1.5570,,,,0.08317,
GJ 3470 b,1.5620,,,,0.07987,
GJ 3470 b,1.5660,,,,0.07515,
GJ 3470 b,1.5710,,,,0.08324,
GJ 3470 b,1.5750,,,,0.08242,
GJ 3470 b,1.5800,,,,0.07739,
GJ 3470 b,1.5850,,,,0.07902,
GJ 3470 b,1.5890,,,,0.07823,
GJ 3470 b,1.5940,,,,0.07863,
GJ 3470 b,1.5990,,,,0.08002,
GJ 3470 b,1.6030,,,,0.07578,
GJ 3470 b,1.6080,,,,0.07894,
GJ 3470 b,1.6130,,,,0.08069,
GJ 3470 b,1.6170,,,,0.08044,
GJ 3470 b,1.6220,,,,0.07980,
GJ 3470 b,1.6270,,,,0.08002,
GJ 3470 b,1.6310,,,,0.07912,
GJ 3470 b,1.6360,,,,0.07878,
GJ 3470 b,1.6400,,,,0.08008,
GJ 3470 b,1.6450,,,,0.07879,
GJ 3470 b,1.2150,,,,0.07536,2456247.299540
GJ 3470 b,0.7886,,,,0.07970,2456247.299540
GJ 3470 b,0.6469,,,,0.07700,2456247.299540
GJ 3470 b,0.4858,,,,0.08000,2456247.299540
GJ 3470 b,2.1100,0.0400,,,0.07750,2456390.775800
GJ 3470 b,2.1500,0.0400,,,0.08000,2456390.775800
GJ 3470 b,2.1900,0.0400,,,0.08070,2456390.775800
GJ 3470 b,2.2350,0.0500,,,0.07850,2456390.775800
GJ 3470 b,2.2850,0.0500,,,0.07930,2456390.775800
GJ 3470 b,2.3350,0.0500,,,0.07670,2456390.775800
GJ 3470 b,0.9635,,,,0.07484,2456340.725590
GJ 3470 b,0.3575,,,,0.08210,2456340.725590
WASP-19 b,0.4858,,,,0.14206,
WASP-19 b,0.6290,,,,0.14372,
WASP-19 b,0.7706,,,,0.14386,
WASP-19 b,0.9222,,,,0.14207,
WASP-19 b,0.6469,,,,0.14028,
WASP-19 b,0.6469,,,,0.14722,
GJ 1214 b,2.1400,,,,0.11730,2455783.594150
GJ 1214 b,0.8665,,,,0.11735,2455315.794750
WASP-12 b,0.7280,0.0150,1.409000,,,
WASP-12 b,0.7430,0.0150,1.441000,,,
WASP-12 b,0.7570,0.0150,1.423000,,,
WASP-12 b,0.7750,0.0150,1.417000,,,
WASP-12 b,0.7900,0.0150,1.425000,,,
WASP-12 b,0.8060,0.0150,1.441000,,,
WASP-12 b,0.8240,0.0150,1.434000,,,
WASP-12 b,0.8400,0.0150,1.411000,,,
WASP-12 b,0.8540,0.0150,1.412000,,,
WASP-12 b,0.8730,0.0150,1.418000,,,
WASP-12 b,0.8870,0.0150,1.403000,,,
WASP-12 b,0.9030,0.0150,1.404000,,,
WASP-12 b,0.9230,0.0150,1.437000,,,
WASP-12 b,0.9380,0.0150,1.429000,,,
WASP-12 b,0.9520,0.0150,1.422000,,,
WASP-12 b,0.9700,0.0150,1.476000,,,
WASP-12 b,0.9850,0.0150,1.454000,,,
WASP-12 b,1.0000,0.0150,1.424000,,,
WASP-12 b,1.1250,0.0500,1.414000,,,
WASP-12 b,1.1750,0.0500,1.378000,,,
WASP-12 b,1.2250,0.0500,1.387000,,,
WASP-12 b,1.2750,0.0500,1.361000,,,
WASP-12 b,1.3250,0.0500,1.366000,,,
WASP-12 b,1.3750,0.0500,1.388000,,,
WASP-12 b,1.4250,0.0500,1.379000,,,
WASP-12 b,1.4750,0.0500,1.395000,,,
WASP-12 b,1.5250,0.0500,1.397000,,,
WASP-12 b,1.5750,0.0500,1.359000,,,
WASP-12 b,1.6250,0.0500,1.373000,,,
WASP-12 b,3.6000,,1.341000,,,
WASP-12 b,4.5000,,1.306000,,,
WASP-12 b,1.1450,,1.413100,,,2455663.699736
WASP-12 b,1.1720,,1.421100,,,2455663.699736
WASP-12 b,1.1990,,1.430200,,,2455663.699736
WASP-12 b,1.2260,,1.441700,,,2455663.699736
WASP-12 b,1.2530,,1.437600,,,2455663.699736
WASP-12 b,1.2810,,1.410300,,,2455663.699736
WASP-12 b,1.3080,,1.414300,,,2455663.699736
WASP-12 b,1.3350,,1.438700,,,2455663.699736
WASP-12 b,1.3620,,1.433800,,,2455663.699736
WASP-12 b,1.3890,,1.441900,,,2455663.699736
WASP-12 b,1.4160,,1.441400,,,2455663.699736
WASP-12 b,1.4430,,1.432200,,,2455663.699736
WASP-12 b,1.4710,,1.450500,,,2455663.699736
WASP-12 b,1.4980,,1.471900,,,2455663.699736
WASP-12 b,1.5240,,1.464500,,,2455663.699736
WASP-12 b,1.5520,,1.470700,,,2455663.699736
WASP-12 b,1.5790,,1.417000,,,2455663.699736
WASP-12 b,1.6060,,1.426400,,,2455663.699736
WASP-12 b,1.6330,,1.407300,,,2455663.699736
WASP-17 b,1.1280,,1.508700,,,2455750.794793
WASP-17 b,1.1560,,1.486700,,,2455750.794793
WASP-17 b,1.1840,,1.504400,,,2455750.794793
WASP-17 b,1.2120,,1.495700,,,2455750.794793
WASP-17 b,1.2400,,1.499800,,,2455750.794793
WASP-17 b,1.2680,,1.516600,,,2455750.794793
WASP-17 b,1.2960,,1.482200,,,2455750.794793
WASP-17 b,1.3250,,1.536200,,,2455750.794793
WASP-17 b,1.3530,,1.554500,,,2455750.794793
WASP-17 b,1.3810,,1.568600,,,2455750.794793
WASP-17 b,1.4090,,1.505000,,,2455750.794793
WASP-17 b,1.4370,,1.557800,,,2455750.794793
WASP-17 b,1.4650,,1.544600,,,2455750.794793
WASP-17 b,1.4930,,1.530000,,,2455750.794793
WASP-17 b,1.5210,,1.508600,,,2455750.794793
WASP-17 b,1.5490,,1.541000,,,2455750.794793
WASP-17 b,1.5770,,1.553400,,,2455750.794793
WASP-17 b,1.6060,,1.487500,,,2455750.794793
WASP-17 b,1.6340,,1.453000,,,2455750.794793
WASP-19 b,1.1180,,2.015900,,,2455744.032268
WASP-19 b,1.1460,,2.024100,,,2455744.032268
WASP-19 b,1.1740,,1.990500,,,2455744.032268
WASP-19 b,1.2020,,2.007100,,,2455744.032268
WASP-19 b,1.2300,,1.926900,,,2455744.032268
WASP-19 b,1.2580,,1.988000,,,2455744.032268
WASP-19 b,1.2860,,1.994100,,,2455744.032268
WASP-19 b,1.3140,,2.017600,,,2455744.032268
WASP-19 b,1.3430,,1.994300,,,2455744.032268
WASP-19 b,1.3710,,2.031800,,,2455744.032268
WASP-19 b,1.3990,,2.031700,,,2455744.032268
WASP-19 b,1.4270,,2.054600,,,2455744.032268
WASP-19 b,1.4550,,2.036300,,,2455744.032268
WASP-19 b,1.4830,,1.992300,,,2455744.032268
WASP-19 b,1.5110,,2.047000,,,2455744.032268
WASP-19 b,1.5390,,2.005300,,,2455744.032268
WASP-19 b,1.5680,,2.035000,,,2455744.032268
WASP-19 b,1.5970,,2.057800,,,2455744.032268
WASP-19 b,1.6240,,2.014200,,,2455744.032268
HAT-P-1 b,0.3350,0.0900,,,0.11851,
HAT-P-1 b,0.4050,0.0500,,,0.11854,
HAT-P-1 b,0.4550,0.0500,,,0.11845,
HAT-P-1 b,0.5020,0.0440,,,0.11776,
HAT-P-1 b,0.5470,0.0460,,,0.11709,
HAT-P-1 b,0.5586,0.0585,,,0.11826,
HAT-P-1 b,0.5893,0.0030,,,0.12230,
HAT-P-1 b,0.6201,0.0585,,,0.11778,
HAT-P-1 b,0.6700,0.0400,,,0.11782,
HAT-P-1 b,0.7100,0.0400,,,0.11799,
