,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
6507,K01526.01,CFRM,4.4444826,3.686,163.0,1.71,1217.0,6240.0,4.426,1.079,288.99258,46.67075,Super Earth,Kepler-881 b
6508,K01584.01,CFRM,5.87063416,2.5736,505.6,1.44,616.0,4166.0,4.66,0.612,286.58539,46.87093,Super Earth,Kepler-898 b
6509,K01528.01,CFRM,3.989544192,1.591,190.0,0.93,903.0,5229.0,4.643,0.688,294.6499,43.33559,Super Earth,Kepler-882 b
6510,K01529.01,CFRM,17.9776037,4.605,213.9,1.58,752.0,6296.0,4.46,1.006,287.03952,46.640129,Super Earth,Kepler-59 c
6511,K01529.02,CFRM,11.8693144,4.653,101.9,1.09,864.0,6296.0,4.46,1.006,287.03952,46.640129,Super Earth,Kepler-59 b
6512,K01530.01,CFRM,12.98494603,3.4497,257.2,1.64,818.0,5948.0,4.384,1.025,286.43365,50.300331,Super Earth,Kepler-883 b
6513,K01586.01,CFRM,6.99130452,2.1568,555.4,1.95,716.0,4847.0,4.606,0.761,296.17728,46.99902,Super Earth,Kepler-900 b
6514,K01588.01,CFRM,3.517494725,1.5639,532.8,1.42,704.0,4132.0,4.699,0.564,291.15295,40.887489,Super Earth,Kepler-901 b
6515,K01665.01,CFRM,6.93365167,4.608,119.6,1.7,1104.0,5861.0,4.212,1.304,294.17108,40.055168,Super Earth,Kepler-923 b
6516,K01531.01,CFRM,5.69919592,2.3906,159.4,1.16,964.0,5646.0,4.493,0.932,292.58444,49.923161,Super Earth,Kepler-884 b
6517,K01533.01,CFRM,6.24145791,3.0998,163.7,1.6,1111.0,5810.0,4.25,1.259,286.27176,43.59523,Super Earth,Kepler-886 b
6518,K01534.01,CFRM,20.4222447,6.22,189.3,1.78,785.0,6119.0,4.274,1.299,290.09082,39.81699,Super Earth,Kepler-887 b
6519,K01589.01,CFRM,8.72585478,4.473,446.7,2.86,985.0,6036.0,4.326,1.131,298.25204,40.496078,Super Earth,Kepler-84 b
6520,K01589.02,CFRM,12.88291395,5.676,460.5,3.15,865.0,6036.0,4.326,1.131,298.25204,40.496078,Super Earth,Kepler-84 c
6521,K01589.04,CFRM,4.22453631,3.128,159.1,1.6,1254.0,6036.0,4.326,1.131,298.25204,40.496078,Super Earth,Kepler-84 d
6522,K01589.05,CFRM,44.5520266,6.0,362.1,2.29,572.0,6036.0,4.326,1.131,298.25204,40.496078,Super Earth,Kepler-84 f
6523,K01683.01,CFRM,9.11500269,4.558,268.3,1.78,906.0,5962.0,4.431,1.028,289.38351,41.392689,Super Earth,Kepler-927 b
6524,K01534.02,CFRM,7.63846084,3.957,71.7,1.12,1089.0,6119.0,4.274,1.299,290.09082,39.81699,Super Earth,Kepler-887 c
6525,K01535.01,CFRM,70.6981724,6.632,357.7,1.63,417.0,5811.0,4.536,0.866,295.52121,49.738628,Super Earth,Kepler-888 b
6526,K01536.01,CFRM,3.74443645,2.9191,73.3,1.1,1328.0,5876.0,4.269,1.293,291.46732,50.75948,Super Earth,Kepler-889 b
6527,K01687.01,CFRM,3.93246069,2.1763,455.5,1.65,894.0,4841.0,4.533,0.779,289.92072,41.542831,Super Earth,Kepler-928 b
6528,K01688.01,CFRM,0.921030497,2.6077,101.5,1.62,2362.0,5843.0,4.069,1.615,298.48111,41.615341,Super Earth,Kepler-929 b
6529,K01596.01,CFRM,5.92365747,2.6302,406.5,0.99,531.0,3883.0,4.762,0.496,297.50986,46.961262,Super Earth,Kepler-309 b
6530,K01598.02,CFRM,92.8747294,7.474,658.8,2.64,353.0,5497.0,4.57,0.839,288.83936,46.98674,Super Earth,Kepler-310 d
6531,K01706.01,CFRM,1.921437488,1.9046,278.7,1.77,1276.0,5238.0,4.472,0.851,296.95206,43.271969,Super Earth,Kepler-932 b
6532,K01598.03,CFRM,13.93068791,2.312,186.5,1.4,665.0,5497.0,4.57,0.839,288.83936,46.98674,Super Earth,Kepler-310 b
6533,K01601.01,CFRM,10.35078415,6.253,273.1,1.97,842.0,5534.0,4.338,1.08,288.77103,40.664181,Super Earth,Kepler-903 b
6534,K01711.01,CFRM,55.673582,3.778,765.1,2.19,384.0,4998.0,4.53,0.808,290.28845,43.755322,Super Earth,Kepler-934 b
6535,K01713.01,CFRM,6.82778157,2.3726,545.8,1.34,577.0,4198.0,4.689,0.574,290.82602,44.184109,Super Earth,Kepler-316 c
6536,K01952.04,CFRM,42.4729078,7.253,334.0,2.03,539.0,5616.0,4.327,1.111,289.86157,43.472771,Super Earth,Kepler-341 e
6537,K02036.01,CFRM,8.41100305,2.4553,755.6,1.8,472.0,3757.0,4.718,0.539,296.85663,41.758179,Super Earth,Kepler-353 c
6538,K01890.01,CFRM,4.33643506,4.1445,108.5,1.75,1453.0,6180.0,4.133,1.603,293.0795,43.073711,Super Earth,Kepler-1002 b
6539,K01891.01,CFRM,15.95541913,3.9851,762.6,2.18,573.0,4891.0,4.516,0.805,288.44739,44.801682,Super Earth,Kepler-330 c
6540,K01891.02,CFRM,8.25980352,2.928,298.4,1.35,714.0,4891.0,4.516,0.805,288.44739,44.801682,Super Earth,Kepler-330 b
6541,K01965.01,CFRM,2.514628496,1.6239,228.4,1.27,1217.0,5662.0,4.56,0.84,289.59308,49.781158,Super Earth,Kepler-1028 b
6542,K01831.02,CFRM,4.38536428,2.5126,198.5,1.15,935.0,5191.0,4.53,0.826,286.47147,49.649021,Super Earth,Kepler-324 b
6543,K01831.04,CFRM,13.97945055,1.2325,356.1,1.97,635.0,5191.0,4.53,0.826,286.47147,49.649021,Super Earth,Kepler-324 e
6544,K01893.01,CFRM,3.554856338,2.1004,232.9,1.29,1157.0,6068.0,4.565,0.831,292.02045,44.876221,Super Earth,Kepler-1003 b
6545,K01895.01,CFRM,8.45746636,2.2906,1320.3,1.87,540.0,4347.0,4.73,0.524,291.83432,39.307362,Super Earth,Kepler-331 b
6546,K01895.03,CFRM,32.1340014,2.691,1262.0,1.84,346.0,4347.0,4.73,0.524,291.83432,39.307362,Super Earth,Kepler-331 d
6547,K01967.01,CFRM,4.417692516,2.323,279.2,1.57,790.0,4766.0,4.645,0.664,292.13297,41.547539,Super Earth,Kepler-1029 b
6548,K02038.02,CFRM,12.51353325,4.301,430.8,1.88,706.0,5435.0,4.495,0.873,290.97342,45.290321,Super Earth,Kepler-85 c
6549,K02038.03,CFRM,17.9134215,4.364,197.8,1.39,626.0,5435.0,4.495,0.873,290.97342,45.290321,Super Earth,Kepler-85 d
6550,K02038.04,CFRM,25.2149143,5.76,174.1,1.19,559.0,5435.0,4.495,0.873,290.97342,45.290321,Super Earth,Kepler-85 e
6551,K02039.01,CFRM,5.42586901,2.5342,259.0,1.48,973.0,5594.0,4.489,0.934,285.38742,45.049049,Super Earth,Kepler-1067 c
6552,K01833.01,CFRM,3.69298623,1.7744,763.3,1.74,745.0,4402.0,4.682,0.572,285.60254,50.112041,Super Earth,Kepler-968 b
6553,K01898.01,CFRM,6.4980147,2.4384,190.9,1.87,1026.0,5727.0,4.328,1.104,286.28601,43.320461,Super Earth,Kepler-1005 b
6554,K01900.01,CFRM,5.18498961,2.1397,430.1,1.15,652.0,4325.0,4.68,0.56,295.90656,45.80912,Super Earth,Kepler-1007 b
6555,K01973.01,CFRM,3.290114076,1.5151,645.3,1.49,802.0,4484.0,4.654,0.594,289.93085,40.097752,Super Earth,Kepler-1032 b
6556,K02045.01,CFRM,5.47665801,2.5482,648.0,2.01,741.0,4650.0,4.589,0.706,285.75146,41.33564,Super Earth,Kepler-354 b
6557,K01835.01,CFRM,4.580346161,2.097,308.3,1.38,889.0,5103.0,4.558,0.789,294.32553,46.002251,Super Earth,Kepler-326 c
6558,K01835.02,CFRM,2.248288213,2.0361,263.2,1.25,1127.0,5103.0,4.558,0.789,294.32553,46.002251,Super Earth,Kepler-326 b
6559,K01835.03,CFRM,6.76690759,1.7062,249.3,1.31,781.0,5103.0,4.558,0.789,294.32553,46.002251,Super Earth,Kepler-326 d
6560,K01837.01,CFRM,34.1732156,4.7679,635.0,2.37,465.0,5201.0,4.573,0.834,288.3725,47.933559,Super Earth,Kepler-969 b
6561,K01904.01,CFRM,12.43929428,3.176,254.3,1.3,627.0,4987.0,4.531,0.773,296.54752,44.941929,Super Earth,Kepler-1008 b
6562,K01905.01,CFRM,7.62635494,2.4168,296.1,1.21,703.0,4955.0,4.61,0.721,286.66296,47.4137,Super Earth,Kepler-332 b
6563,K01977.01,CFRM,9.38740646,1.6165,384.6,1.69,575.0,4500.0,4.656,0.646,295.22879,45.97102,Super Earth,Kepler-345 c
6564,K02045.02,CFRM,24.2101973,4.046,458.0,1.5,451.0,4650.0,4.589,0.706,285.75146,41.33564,Super Earth,Kepler-354 d
6565,K02046.01,CFRM,23.8990075,15.955,293.4,3.26,823.0,5511.0,3.914,1.93,290.97934,47.988998,Super Earth,Kepler-1069 b
6566,K02047.01,CFRM,6.22161107,3.4117,165.0,1.59,1101.0,6277.0,4.417,1.097,293.19537,49.316502,Super Earth,Kepler-1070 b
6567,K02049.01,CFRM,1.569066598,2.7803,147.2,1.68,1849.0,5821.0,4.172,1.395,292.04437,46.329029,Super Earth,Kepler-1072 b
6568,K01841.01,CFRM,49.6075771,2.9575,626.7,2.12,402.0,5187.0,4.592,0.774,290.16525,49.923859,Super Earth,Kepler-973 b
6569,K01908.01,CFRM,12.55111099,3.1293,494.1,1.34,480.0,4213.0,4.669,0.598,292.28607,40.913589,Super Earth,Kepler-333 b
6570,K01908.02,CFRM,24.0884178,3.952,387.2,1.16,386.0,4213.0,4.669,0.598,292.28607,40.913589,Super Earth,Kepler-333 c
6571,K01909.01,CFRM,12.75800092,4.1828,187.9,1.49,822.0,5782.0,4.34,1.095,287.14066,47.115189,Super Earth,Kepler-334 c
6572,K01909.02,CFRM,5.47033376,3.1441,112.0,1.15,1090.0,5782.0,4.34,1.095,287.14066,47.115189,Super Earth,Kepler-334 b
6573,K01979.01,CFRM,2.714078374,1.3115,143.5,1.38,1301.0,5815.0,4.461,0.992,289.04221,42.882488,Super Earth,Kepler-1035 b
6574,K02063.01,CFRM,3.00725068,4.4302,285.8,1.56,1122.0,5667.0,4.587,0.781,293.20059,43.050041,Super Earth,Kepler-1078 b
6575,K01843.01,CFRM,4.194496867,1.7807,660.7,1.57,577.0,3706.0,4.747,0.522,285.01309,40.220749,Super Earth,Kepler-974 b
6576,K01845.01,CFRM,1.970340203,1.7901,403.2,3.97,1599.0,4883.0,3.972,1.667,290.54855,38.495281,Super Earth,Kepler-975 b
6577,K01909.03,CFRM,25.0985083,2.7727,167.6,1.59,656.0,5782.0,4.34,1.095,287.14066,47.115189,Super Earth,Kepler-334 d
6578,K01913.01,CFRM,5.50860699,3.0788,203.9,1.49,934.0,5448.0,4.489,0.883,289.29626,46.457951,Super Earth,Kepler-1012 b
6579,K01988.01,CFRM,0.934885365,1.4083,270.4,3.21,2080.0,4777.0,3.909,1.795,298.3266,45.31551,Super Earth,Kepler-1039 b
6580,K02051.02,CFRM,11.0317836,4.753,182.3,1.45,840.0,5739.0,4.381,1.069,285.79947,42.811779,Super Earth,Kepler-355 b
6581,K02053.01,CFRM,13.12162167,3.6138,196.9,1.99,913.0,6140.0,4.265,1.277,292.42108,37.682819,Super Earth,Kepler-356 c
6582,K01916.03,CFRM,2.0248205,2.55,63.3,1.01,1625.0,5865.0,4.266,1.272,290.23764,41.331379,Super Earth,Kepler-336 b
6583,K01989.01,CFRM,201.118319,10.328,584.8,2.28,300.0,5646.0,4.447,0.954,283.11377,48.13139,Super Earth,Kepler-1040 b
6584,K01992.01,CFRM,12.7983174,6.401,336.6,2.88,908.0,5592.0,4.115,1.451,289.19958,49.305721,Super Earth,Kepler-347 b
6585,K02053.02,CFRM,4.6126736,3.0643,133.2,1.6,1294.0,6140.0,4.265,1.277,292.42108,37.682819,Super Earth,Kepler-356 b
6586,K02057.01,CFRM,5.94565516,2.1604,401.2,1.12,568.0,3974.0,4.7,0.564,284.47653,46.252579,Super Earth,Kepler-1074 b
6587,K02058.01,CFRM,1.52373073,1.4796,364.7,1.26,818.0,3746.0,4.736,0.51,287.50116,47.469269,Super Earth,Kepler-1075 b
6588,K01923.01,CFRM,7.23400381,2.165,453.3,1.78,831.0,5411.0,4.523,0.85,283.46936,40.13261,Super Earth,Kepler-1017 b
6589,K02001.01,CFRM,8.27745764,2.713,197.2,2.46,1088.0,5129.0,3.884,1.781,297.02109,41.377171,Super Earth,Kepler-1783 b
6590,K02002.01,CFRM,14.37504582,3.208,251.1,2.05,786.0,5931.0,4.403,1.053,296.75574,46.998291,Super Earth,Kepler-1046 b
6591,K02071.01,CFRM,3.85690686,2.0808,127.8,0.93,972.0,5272.0,4.574,0.813,289.44452,41.31776,Super Earth,Kepler-1081 b
6592,K01860.01,CFRM,6.31943553,3.3422,581.1,2.71,986.0,5670.0,4.397,1.022,291.55695,39.227291,Super Earth,Kepler-416 b
6593,K01929.01,CFRM,9.69315023,5.6725,141.8,1.89,1017.0,5683.0,4.108,1.472,290.06049,47.16396,Super Earth,Kepler-337 c
6594,K02004.01,CFRM,56.1886436,6.5272,346.2,2.56,503.0,5700.0,4.327,1.176,288.64627,50.788979,Super Earth,Kepler-1047 b
6595,K02005.01,CFRM,6.92101452,4.3591,529.7,1.48,619.0,4461.0,4.661,0.585,281.89835,42.165791,Super Earth,Kepler-1048 b
6596,K02007.01,CFRM,15.3789014,4.662,185.1,2.94,1039.0,5817.0,3.877,2.153,282.92499,48.626389,Super Earth,Kepler-1050 b
6597,K01929.02,CFRM,3.29276797,4.8069,80.7,1.39,1458.0,5683.0,4.108,1.472,290.06049,47.16396,Super Earth,Kepler-337 b
6598,K01930.01,CFRM,13.72710334,7.3419,199.2,2.38,1005.0,5951.0,4.017,1.693,282.97897,40.784351,Super Earth,Kepler-338 b
6599,K01930.04,CFRM,9.34145925,6.18,81.7,1.56,1143.0,5951.0,4.017,1.693,282.97897,40.784351,Super Earth,Kepler-338 e
6600,K01931.01,CFRM,4.97760447,2.5719,287.3,1.75,1023.0,5353.0,4.358,1.023,293.35172,48.444641,Super Earth,Kepler-339 b
6601,K02007.02,CFRM,21.1285655,3.852,176.7,2.88,935.0,5817.0,3.877,2.153,282.92499,48.626389,Super Earth,Kepler-1050 c
6602,K00216.02,CFRM,7.51854537,2.845,286.7,1.42,784.0,5064.0,4.474,0.864,299.21317,41.424831,Super Earth,Kepler-118 b
6603,K01867.01,CFRM,2.549562652,1.6999,495.1,1.11,682.0,3716.0,4.74,0.506,292.64236,44.087669,Super Earth,Kepler-327 b
6604,K01867.02,CFRM,13.96950181,1.5871,1110.0,2.04,387.0,3716.0,4.74,0.506,292.64236,44.087669,Super Earth,Kepler-327 d
6605,K01867.03,CFRM,5.21230171,2.098,430.0,1.04,537.0,3716.0,4.74,0.506,292.64236,44.087669,Super Earth,Kepler-327 c
6606,K01868.01,CFRM,17.76076524,1.6679,1287.2,1.93,368.0,3826.0,4.744,0.516,290.7084,42.237251,Super Earth,Kepler-988 b
6607,K01931.02,CFRM,10.55840479,3.366,194.2,1.41,796.0,5353.0,4.358,1.023,293.35172,48.444641,Super Earth,Kepler-339 d
6608,K01931.03,CFRM,6.98800953,3.103,193.2,1.39,914.0,5353.0,4.358,1.023,293.35172,48.444641,Super Earth,Kepler-339 c
6609,K02011.01,CFRM,7.05675145,2.0261,130.0,1.68,1196.0,6388.0,4.244,1.402,297.25504,40.54837,Super Earth,Kepler-348 b
6610,K01937.01,CFRM,1.411230023,1.4325,388.2,1.71,1164.0,4575.0,4.564,0.737,283.71753,47.204449,Super Earth,Kepler-1019 b
6611,K02017.01,CFRM,2.29503515,1.654,172.1,1.18,1304.0,5637.0,4.482,0.909,290.48676,44.932621,Super Earth,Kepler-1055 b
6612,K01805.03,CFRM,4.36273233,2.2375,341.6,1.76,1023.0,5527.0,4.491,0.88,288.81195,39.77066,Super Earth,Kepler-319 b
6613,K01874.01,CFRM,18.6848377,3.7965,1251.5,1.93,402.0,4156.0,4.712,0.545,299.26804,45.227428,Super Earth,Kepler-329 c
6614,K01874.02,CFRM,7.41634701,2.1362,505.5,1.24,547.0,4156.0,4.712,0.545,299.26804,45.227428,Super Earth,Kepler-329 b
6615,K01877.01,CFRM,20.16037858,4.13,343.6,1.75,510.0,4975.0,4.614,0.724,284.4303,47.641781,Super Earth,Kepler-992 b
6616,K02021.01,CFRM,3.76417012,2.0111,558.4,1.7,908.0,5063.0,4.617,0.728,289.22021,41.706478,Super Earth,Kepler-1059 b
6617,K02022.01,CFRM,5.92972237,2.518,412.1,1.92,972.0,5741.0,4.492,0.956,293.67648,44.615582,Super Earth,Kepler-349 b
6618,K02022.02,CFRM,12.2476121,3.209,402.7,1.9,763.0,5741.0,4.492,0.956,293.67648,44.615582,Super Earth,Kepler-349 c
6619,K01809.02,CFRM,4.915385452,2.7757,225.5,1.46,1042.0,5772.0,4.487,0.956,294.45386,44.145973,Super Earth,Kepler-321 b
6620,K01813.01,CFRM,9.76785911,2.1649,585.4,2.54,749.0,5371.0,4.513,0.852,287.25668,46.066769,Super Earth,Kepler-958 b
6621,K01880.01,CFRM,1.151166776,1.0907,578.4,1.28,957.0,3951.0,4.73,0.535,289.07224,47.40707,Super Earth,Kepler-994 b
6622,K02025.02,CFRM,26.1363443,6.613,362.2,2.8,782.0,6188.0,4.152,1.465,285.41962,39.706108,Super Earth,Kepler-350 d
6623,K02025.03,CFRM,11.1895709,5.3,143.3,1.81,1037.0,6188.0,4.152,1.465,285.41962,39.706108,Super Earth,Kepler-350 b
6624,K02026.01,CFRM,2.757977384,2.1489,211.0,1.69,1332.0,5919.0,4.435,1.0,296.23001,50.27523,Super Earth,Kepler-1061 b
6625,K01819.01,CFRM,12.05705659,2.3462,523.9,1.96,689.0,5365.0,4.537,0.834,295.31314,46.237492,Super Earth,Kepler-962 b
6626,K01882.01,CFRM,3.770590654,2.029,314.4,2.13,1272.0,5714.0,4.274,1.208,291.91281,41.533611,Super Earth,Kepler-996 b
6627,K01883.01,CFRM,2.7073064,3.4378,69.5,1.36,1709.0,6045.0,4.069,1.629,289.23337,49.938931,Super Earth,Kepler-997 b
6628,K01952.01,CFRM,8.0103929,4.2713,294.1,1.88,940.0,5616.0,4.327,1.111,289.86157,43.472771,Super Earth,Kepler-341 c
6629,K01952.02,CFRM,27.6666375,6.315,324.0,2.04,622.0,5616.0,4.327,1.111,289.86157,43.472771,Super Earth,Kepler-341 d
6630,K01952.03,CFRM,5.19559398,3.748,116.0,1.18,1085.0,5616.0,4.327,1.111,289.86157,43.472771,Super Earth,Kepler-341 b
6631,K02029.01,CFRM,16.33269981,2.174,300.4,1.61,591.0,5208.0,4.563,0.772,299.89651,46.051971,Super Earth,Kepler-352 c
6632,K02031.01,CFRM,9.30413878,1.9254,637.3,1.67,583.0,4458.0,4.611,0.658,283.89941,41.221611,Super Earth,Kepler-1062 b
6633,K01820.01,CFRM,4.33722007,2.4973,358.5,1.63,996.0,5390.0,4.499,0.876,281.34882,44.295238,Super Earth,Kepler-322 c
6634,K01820.02,CFRM,1.653889476,1.7242,124.4,0.97,1373.0,5390.0,4.499,0.876,281.34882,44.295238,Super Earth,Kepler-322 b
6635,K01824.01,CFRM,3.553831111,3.1029,191.8,1.62,1292.0,6015.0,4.37,1.081,291.38223,38.127468,Super Earth,Kepler-323 c
6636,K01824.02,CFRM,1.6783263,2.5123,146.3,1.57,1659.0,6015.0,4.37,1.081,291.38223,38.127468,Super Earth,Kepler-323 b
6637,K01889.02,CFRM,9.18189122,4.343,363.6,2.17,804.0,5741.0,4.555,0.846,286.27386,48.61871,Super Earth,Kepler-1001 c
6638,K02337.01,CFRM,8.49640437,2.2128,834.0,2.14,702.0,5093.0,4.586,0.709,284.3511,40.852982,Super Earth,Kepler-1195 b
6639,K02339.01,CFRM,2.032318856,1.1596,287.5,1.12,1011.0,4670.0,4.635,0.682,291.66928,42.59071,Super Earth,Kepler-1197 b
6640,K00239.02,CFRM,3.62275506,2.7868,180.6,1.62,1304.0,5794.0,4.282,1.216,297.20154,41.730209,Super Earth,Kepler-501 c
6641,K02101.01,CFRM,2.892216772,1.3596,360.5,1.31,794.0,4229.0,4.655,0.615,294.70938,45.969501,Super Earth,Kepler-1096 b
6642,K02103.01,CFRM,2.543063763,2.8473,152.0,1.26,1319.0,5579.0,4.389,1.029,295.50269,43.232792,Super Earth,Kepler-1098 b
6643,K02173.01,CFRM,37.8154157,4.662,286.4,1.21,401.0,4856.0,4.624,0.705,297.29242,49.981628,Super Earth,Kepler-367 b
6644,K02173.02,CFRM,53.5783052,5.194,224.9,1.16,357.0,4856.0,4.624,0.705,297.29242,49.981628,Super Earth,Kepler-367 c
6645,K02174.03,CFRM,7.72513619,2.042,382.2,1.71,581.0,4245.0,4.641,0.637,300.24222,44.141399,Super Earth,Kepler-1802 b
6646,K02259.01,CFRM,12.19140405,1.8832,665.8,2.46,763.0,5516.0,4.399,0.967,300.1705,43.98497,Super Earth,Kepler-1815 b
6647,K02260.01,CFRM,6.11784972,3.458,60.5,1.05,1211.0,6226.0,4.247,1.333,290.23584,50.03009,Super Earth,Kepler-1163 b
6648,K02261.01,CFRM,3.97599629,2.2029,206.0,1.11,936.0,5143.0,4.561,0.778,287.52963,38.894508,Super Earth,Kepler-1164 b
6649,K02340.01,CFRM,7.68478504,2.447,274.1,1.47,830.0,5344.0,4.469,0.907,288.83401,44.838249,Super Earth,Kepler-1198 b
6650,K02342.01,CFRM,15.0447098,5.823,97.9,1.51,931.0,5798.0,4.025,1.525,293.72586,47.24704,Super Earth,Kepler-1199 b
6651,K02344.01,CFRM,1.118547814,1.5534,234.8,0.98,1174.0,4496.0,4.65,0.658,296.60342,44.129261,Super Earth,Kepler-1200 b
6652,K02105.01,CFRM,6.42199919,2.6192,161.6,1.25,1000.0,5985.0,4.468,0.981,291.87134,44.087379,Super Earth,Kepler-1100 b
6653,K02106.01,CFRM,9.75374033,2.348,430.8,1.87,813.0,5806.0,4.528,0.899,293.90057,50.427052,Super Earth,Kepler-1679 b
6654,K02179.01,CFRM,14.87149773,2.4076,944.9,1.59,391.0,3825.0,4.749,0.524,293.67422,47.908459,Super Earth,Kepler-369 c
6655,K02179.02,CFRM,2.732767897,1.1102,613.1,1.42,687.0,3825.0,4.749,0.524,293.67422,47.908459,Super Earth,Kepler-369 b
6656,K02264.01,CFRM,33.2407985,4.675,341.9,1.51,486.0,5382.0,4.571,0.827,290.34851,50.902851,Super Earth,Kepler-1166 b
6657,K02347.01,CFRM,0.588001053,1.1451,297.4,0.99,1188.0,3814.0,4.687,0.57,292.77338,44.178131,Super Earth,Kepler-1203 b
6658,K02350.01,CFRM,1.078389713,1.3394,300.5,1.98,1667.0,5325.0,4.384,0.985,290.27969,41.515049,Super Earth,Kepler-1205 b
6659,K02110.01,CFRM,5.03728033,2.0619,76.3,1.55,1321.0,6387.0,4.271,1.381,294.46854,49.33102,Super Earth,Kepler-1104 b
6660,K02111.01,CFRM,3.289726319,2.3274,234.9,1.37,1116.0,5463.0,4.492,0.91,286.28473,44.781551,Super Earth,Kepler-360 b
6661,K02180.01,CFRM,11.55562042,1.6758,441.5,2.11,703.0,5420.0,4.555,0.85,293.32242,42.86747,Super Earth,Kepler-1133 b
6662,K02181.01,CFRM,12.2885046,2.807,342.1,3.22,913.0,5109.0,3.96,1.671,301.34286,44.672211,Super Earth,Kepler-1804 b
6663,K02183.01,CFRM,19.0231361,3.431,401.6,2.04,647.0,5569.0,4.459,0.954,292.17114,40.916309,Super Earth,Kepler-370 c
6664,K02183.02,CFRM,4.57948235,3.106,207.1,1.35,1040.0,5569.0,4.459,0.954,292.17114,40.916309,Super Earth,Kepler-370 b
6665,K02266.01,CFRM,1.003931703,1.4361,491.1,1.6,1419.0,4949.0,4.552,0.741,298.30273,47.694031,Super Earth,Kepler-1167 b
6666,K02352.01,CFRM,13.39155154,3.391,48.9,1.58,1180.0,6197.0,3.837,2.188,285.1828,43.831078,Super Earth,Kepler-381 c
6667,K02352.03,CFRM,8.2562857,2.0378,37.3,1.49,1387.0,6197.0,3.837,2.188,285.1828,43.831078,Super Earth,Kepler-381 d
6668,K02113.02,CFRM,12.33087921,3.0664,872.2,2.34,671.0,5376.0,4.576,0.806,293.82431,42.779701,Super Earth,Kepler-417 b
6669,K02114.01,CFRM,4.421566535,2.1229,684.0,2.19,729.0,4299.0,4.604,0.697,281.11176,42.45491,Super Earth,Kepler-1105 b
6670,K02116.01,CFRM,1.252753881,2.1472,200.0,2.44,2199.0,5907.0,4.041,1.705,291.1452,44.062538,Super Earth,Kepler-1106 b
6671,K02185.01,CFRM,76.957056,9.551,367.1,2.09,451.0,5878.0,4.363,1.041,286.00296,44.756592,Super Earth,Kepler-1135 b
6672,K02191.01,CFRM,8.84784273,2.0572,460.2,1.15,479.0,3867.0,4.718,0.552,285.08655,40.898998,Super Earth,Kepler-1805 b
6673,K02278.02,CFRM,4.92031063,4.046,81.0,1.18,1242.0,5845.0,4.2,1.314,291.60718,38.410389,Super Earth,Kepler-376 b
6674,K00241.01,CFRM,13.82142084,3.985,765.2,2.2,560.0,4983.0,4.66,0.651,286.75278,49.064911,Super Earth,Kepler-124 c
6675,K02361.01,CFRM,5.78387049,1.3966,413.3,2.07,1051.0,6063.0,4.476,1.012,295.30255,49.589119,Super Earth,Kepler-1831 b
6676,K02119.01,CFRM,0.571038347,1.1267,242.1,1.65,1897.0,5132.0,4.457,0.886,291.04993,39.14167,Super Earth,Kepler-1107 b
6677,K02121.01,CFRM,4.51005082,2.1533,294.8,1.74,1063.0,5362.0,4.352,1.032,296.04233,45.985142,Super Earth,Kepler-1108 b
6678,K02193.01,CFRM,2.361724472,1.2167,587.0,1.53,922.0,4478.0,4.615,0.651,284.10779,44.245811,Super Earth,Kepler-1136 b
6679,K02194.01,CFRM,34.7630543,4.309,293.7,1.75,554.0,5670.0,4.387,0.95,292.32645,38.657581,Super Earth,Kepler-371 b
6680,K02195.01,CFRM,20.0545282,7.173,305.4,2.63,755.0,6056.0,4.332,1.209,291.2562,49.258949,Super Earth,Kepler-372 c
6681,K02200.01,CFRM,3.17059731,1.6686,325.4,1.69,1080.0,5431.0,4.563,0.843,285.89923,48.307301,Super Earth,Kepler-1138 b
6682,K02279.01,CFRM,27.0142622,5.385,287.6,2.0,677.0,5949.0,4.303,1.184,295.422,38.735691,Super Earth,Kepler-377 c
6683,K02279.02,CFRM,12.50945798,3.479,155.3,1.54,875.0,5949.0,4.303,1.184,295.422,38.735691,Super Earth,Kepler-377 b
6684,K02282.01,CFRM,6.89226333,2.4921,214.4,2.13,1156.0,5862.0,4.148,1.463,281.83145,42.298908,Super Earth,Kepler-1174 b
6685,K02368.01,CFRM,8.07127043,2.393,318.2,1.53,856.0,5766.0,4.517,0.853,292.83215,48.21936,Super Earth,Kepler-1210 b
6686,K00241.02,CFRM,30.9505927,5.394,301.4,1.51,428.0,4983.0,4.66,0.651,286.75278,49.064911,Super Earth,Kepler-124 d
6687,K02202.01,CFRM,0.813166357,1.4122,173.5,1.14,1693.0,5237.0,4.5,0.887,287.94562,39.230572,Super Earth,Kepler-1139 b
6688,K02205.01,CFRM,24.08632177,2.236,1041.7,2.78,500.0,4973.0,4.537,0.768,281.69397,46.946449,Super Earth,Kepler-1140 b
6689,K02355.01,CFRM,1.217000383,1.3285,459.8,1.58,1314.0,4859.0,4.545,0.757,295.93842,49.791142,Super Earth,Kepler-1206 b
6690,K02356.01,CFRM,13.6823798,4.153,179.6,1.43,802.0,6102.0,4.457,1.026,295.06424,49.35899,Super Earth,Kepler-1207 b
