,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
11555,4025.01,CAND,16.2853673,5.844,4740.0,8.28683,883.0,5770.0,4.29,1.2,257.448863,77.485328,TBD,
11556,4027.01,CAND,3.607429,2.344,830.0,2.70144,1190.0,5593.0,4.52,0.91,353.15863,69.422141,TBD,
11557,4028.01,CAND,3.9589481,2.457,15370.0,15.3461,1189.0,5963.0,4.3,1.22,355.230606,69.974452,TBD,
11558,4029.01,CAND,5.8848559,3.666,2940.0,6.60246,1171.0,5712.4,4.3,1.18,239.233719,16.980285,TBD,
11559,4030.01,CAND,2.5089015,2.149,2910.0,5.47704,1324.0,5574.0,4.44,0.99,277.622837,56.770452,TBD,
11560,4031.01,CAND,10.0460809,1.715,17660.0,13.0839,597.0,5637.9,4.49,0.95,277.325439,55.320525,TBD,
11561,4034.01,CAND,1.8020959,3.009,8740.0,17.4795,1848.0,5760.0,3.92,1.85,335.146984,71.767346,TBD,
11562,4037.01,CAND,4.7255326,2.654,2380.0,11.2101,1243.0,6139.0,3.71,2.48,342.552349,75.860399,TBD,
11563,4038.01,CAND,4.2990466,2.956,4840.0,10.0361,1199.0,5671.0,4.12,1.45,305.02027,73.277764,TBD,
11564,4039.01,CAND,4.7307715,3.123,8520.0,9.79835,1168.0,5777.0,4.42,1.05,273.734478,49.761588,TBD,
11565,4040.01,CAND,7.1354222,2.93,1400.0,5.42038,1466.0,5446.0,4.57,0.84,268.614463,77.48831,TBD,
11566,4041.01,CAND,7.8746324,5.164,6430.0,11.8037,1312.0,5914.8,4.17,1.41,246.855462,21.616792,TBD,
11567,4042.01,CAND,2.3238426,2.391,9780.0,13.8867,1513.0,5983.9,4.2,1.38,255.364082,28.988524,TBD,
11568,4043.01,CAND,5.1190872,5.449,5250.0,12.2173,1529.0,5926.0,4.01,1.7,325.554628,69.504808,TBD,
11569,4046.01,CAND,0.7583501,0.772,810.0,5.16697,1686.0,6209.0,4.13,1.56,238.686827,25.01394,TBD,
11571,4049.01,CAND,31.400869,2.043,16320.0,10.8682,309.0,4953.0,4.55,0.79,293.764805,66.25505,TBD,
11572,4050.01,CAND,4.6546551,1.346,5570.0,13.8366,939.0,5966.0,4.08,1.58,306.85268,68.231866,TBD,
11573,4051.01,CAND,3.0747069,1.097,3690.0,6.84081,840.0,5091.0,4.36,1.0,240.691824,71.224288,TBD,
11574,4054.01,CAND,17.3567287,2.176,13930.0,10.0148,478.0,4697.0,4.55,0.76,276.291469,60.773296,TBD,
11575,4055.01,CAND,4.5679322,3.139,18830.0,14.3582,1156.0,5675.0,4.41,1.04,269.179221,64.766624,TBD,
11576,4056.01,CAND,5.0522471,3.862,3650.0,9.7206,1435.0,6328.9,4.15,1.55,247.549643,49.895791,TBD,
11577,4057.01,CAND,2.407668,1.58,4470.0,6.85391,1225.0,5702.0,4.46,0.98,286.186545,64.153145,TBD,
11578,4059.01,CAND,2.038183,2.037,23130.0,12.7341,1182.0,4928.0,4.52,0.82,274.182772,76.890911,TBD,
11579,406.01,CAND,13.1757294,2.1570272,2479.347714,1.9602373,325.2663942,3349.0,4.94138,0.388609,49.262643,-42.244149,TBD,
11580,406.02,CAND,6.614911,0.9654605,1060.571582,1.2731554,409.2506857,3349.0,4.94138,0.388609,49.262643,-42.244149,TBD,
11581,4062.01,CAND,6.7473539,2.283,14780.0,13.8867,844.0,5332.0,4.35,1.06,259.098604,67.566607,TBD,
11582,4063.01,CAND,1.6322704,1.599,12800.0,19.606,1635.0,5099.9,4.45,0.91,244.369594,46.648021,TBD,
11583,4064.01,CAND,3.8836923,1.894,2740.0,9.69788,1035.0,5622.4,3.98,1.69,243.370371,42.885503,TBD,
11584,4065.01,CAND,3.5910615,3.213,7120.0,10.0942,1349.0,5657.0,4.3,1.18,242.83196,47.712652,TBD,
11585,4066.01,CAND,6.7206629,3.174,17330.0,11.2882,827.0,4914.0,4.49,0.85,245.992526,45.261098,TBD,
11586,4067.01,CAND,3.6762653,3.917,12030.0,12.55,1474.0,5801.0,4.36,1.12,243.935867,48.325503,TBD,
11587,4069.01,CAND,2.723424,1.754,13090.0,11.129,1107.0,5366.0,4.47,0.93,252.593952,16.982718,TBD,
11588,407.01,CAND,2.1654707,3.407,4520.0,13.4897,1982.0,5830.0,4.26,1.86,111.211721,-62.092431,TBD,
11589,4070.01,CAND,3.1503628,1.059,9110.0,9.47813,762.0,5229.0,4.49,0.89,250.276118,42.436314,TBD,
11590,4071.01,CAND,6.5169955,2.416,930.0,2.26174,783.0,4937.5,4.64,0.71,249.291448,43.344761,TBD,
11592,4076.01,CAND,4.3965758,2.827,6250.0,9.71601,1205.0,5957.0,4.3,1.23,250.907053,36.141365,TBD,
11593,4077.01,CAND,5.568776,2.038,12330.0,9.22074,729.0,4887.0,4.53,0.8,250.298493,38.961556,TBD,
11594,4079.01,CAND,1.9872259,2.486,19450.0,15.6112,1670.0,6178.0,4.44,1.08,19.980843,64.538054,TBD,
11595,4080.01,CAND,3.7507206,2.983,18200.0,13.5631,1182.0,5389.0,4.43,0.97,84.865203,81.54345,TBD,
11597,4082.01,CAND,4.6257192,3.662,9930.0,13.4946,1322.0,5972.0,4.23,1.34,17.399896,69.732043,TBD,
11598,4084.01,CAND,15.6326703,2.989,12880.0,11.3357,619.0,5725.0,4.49,0.96,280.779456,20.21884,TBD,
11599,4085.01,CAND,2.8282424,2.673,10540.0,10.8496,1389.0,5257.0,4.37,1.03,281.83562,26.417834,TBD,
11600,4086.01,CAND,5.6914383,5.2572063,5354.920804,12.3159174,1309.38243,5783.0,4.01,1.66513,138.280617,85.271029,TBD,
11601,4087.01,CAND,3.1774462,2.9628168,13025.82683,13.7545,1348.792296,6071.0,4.39,1.11748,217.925779,83.372706,TBD,
11602,4088.01,CAND,2.7286978,2.4215747,10116.13751,12.9955791,1409.507374,5686.0,4.28,1.21076,100.081046,76.553069,TBD,
11603,4090.01,CAND,3.1775801,2.085,3700.0,5.06928,974.0,4740.0,4.49,0.82,278.232233,39.637997,TBD,
11604,4091.01,CAND,3.0038696,3.24,760.0,3.44576,1702.0,6171.0,4.35,1.2,277.979234,39.669309,TBD,
11605,4092.01,CAND,7.4958179,5.277,7180.0,11.9522,1179.0,5667.0,4.14,1.41,258.431157,81.004051,TBD,
11606,4093.01,CAND,10.4713134,3.234,1380.0,3.05651,831.0,5388.0,4.61,0.79,290.738474,59.431202,TBD,
11607,4094.01,CAND,4.911145,1.937,650.0,3.30088,1009.0,6186.0,4.33,1.24,297.678176,68.167662,TBD,
11608,4095.01,CAND,4.1538259,1.464,7730.0,9.70688,870.0,5737.0,4.37,1.09,257.899648,47.257065,TBD,
11609,4096.01,CAND,10.1056845,2.788,1760.0,3.67356,699.0,5053.0,4.46,0.9,237.986823,67.039685,TBD,
11610,4097.01,CAND,2.7741774,2.034,1980.0,3.70897,1237.0,5636.0,4.61,0.82,320.233103,83.022778,TBD,
11611,4098.01,CAND,1.1789805,0.882,1110.0,4.95824,1332.0,5650.0,4.17,1.37,319.351026,79.6107,TBD,
11612,4099.01,CAND,4.3953621,2.299,850.0,2.06335,908.0,4836.0,4.6,0.73,294.561939,71.574534,TBD,
11613,4103.01,CAND,12.2748026,3.6148066,13289.42067,12.3192497,791.9636188,5674.0,4.4,1.04568,289.751203,82.875584,TBD,
11614,4104.01,CAND,2.3763645,3.387,7270.0,19.2904,1984.0,6676.0,3.9,2.2,277.717657,19.796009,TBD,
11615,4105.01,CAND,5.7152166,2.79,2210.0,10.5071,1042.0,5845.0,3.75,2.25,282.204034,65.941643,TBD,
11616,4106.01,CAND,16.3558618,4.673,1120.0,3.35233,828.0,5740.0,4.45,1.0,280.745794,62.818388,TBD,
11617,4107.01,CAND,3.5323548,1.798,2400.0,3.42122,734.0,4003.0,4.59,0.66,269.240718,58.882622,TBD,
11618,4108.01,CAND,14.4344298,5.512,1610.0,7.76647,969.0,5834.0,3.89,1.93,257.667388,60.028468,TBD,
11619,4109.01,CAND,12.3204105,2.389,5920.0,5.2402,478.0,4103.0,4.62,0.65,246.36791,66.351585,TBD,
11620,411.01,CAND,9.5730706,3.7949677,370.8091141,2.3053058,941.9166541,6101.0,4.38774,1.11672,54.819538,-42.763028,TBD,
11621,411.02,CAND,4.040413,3.5274466,143.394396,1.5473747,1255.705054,6101.0,4.38774,1.11672,54.819538,-42.763028,TBD,
11622,4110.01,CAND,0.7676704,1.117,330.0,2.86036,2045.0,6377.0,4.17,1.53,244.441282,69.447713,TBD,
11623,4111.01,CAND,12.2791266,4.393,5980.0,10.3649,841.0,5596.0,4.15,1.39,290.980736,63.557271,TBD,
11624,4113.01,CAND,22.1594284,3.846,810.0,4.13657,954.0,5174.0,4.58,0.79,283.889684,71.400671,TBD,
11625,4114.01,CAND,4.8037711,2.233,2030.0,3.20327,720.0,4080.0,4.56,0.69,292.965281,61.882054,TBD,
11626,4115.01,CAND,2.9855974,1.24,9720.0,10.0824,920.0,4602.0,4.48,0.82,249.121348,57.150009,TBD,
11627,4117.01,CAND,25.0929137,5.319,4690.0,9.31718,670.0,5775.0,4.2,1.34,246.202805,60.965502,TBD,
11628,4118.01,CAND,2.555231,2.487,12550.0,13.7785,1439.0,5855.0,4.3,1.21,268.37328,46.34641,TBD,
11629,4119.01,CAND,5.2018975,1.124,3370.0,7.9513,593.0,4950.0,4.21,1.18,246.270436,73.283495,TBD,
11630,4120.01,CAND,4.895338,4.986,4700.0,11.9957,1475.0,5828.0,3.96,1.77,241.928706,82.072535,TBD,
11633,4123.01,CAND,2.7878876,1.136,2940.0,4.81676,944.0,5375.0,4.55,0.85,131.233555,75.105679,TBD,
11634,4125.01,CAND,4.7156367,3.117,10950.0,17.0772,1312.0,5873.0,4.08,1.56,109.305384,70.780189,TBD,
11635,4127.01,CAND,169.2131245,4.069,9060.0,12.5447,272.0,6433.0,4.36,1.25,105.404552,72.41493,TBD,
11636,4128.01,CAND,1.9794955,2.19,2400.0,4.65628,1438.0,5275.0,4.46,0.92,128.261476,82.024762,TBD,
11637,4129.01,CAND,3.2725202,1.48,5650.0,5.67657,724.0,4279.0,4.51,0.75,281.527275,46.248566,TBD,
11638,4131.01,CAND,2.3382773,2.335,13670.0,11.2432,1290.0,5263.0,4.45,0.94,280.9612,48.134073,TBD,
11639,4132.01,CAND,11.764904,4.423,4780.0,11.8841,906.0,5801.0,4.01,1.69,216.765629,78.762732,TBD,
11640,4135.01,CAND,2.5139201,2.385,590.0,4.91328,1571.0,6150.0,3.9,2.05,271.493129,78.049292,TBD,
11641,4136.01,CAND,3.7628839,3.503,1720.0,6.1876,1611.0,6357.0,4.19,1.5,20.407409,82.168783,TBD,
11642,4137.01,CAND,3.8016435,3.294,8320.0,13.4483,1438.0,6244.0,4.19,1.47,77.612879,70.391079,TBD,
11643,4140.01,CAND,4.2511545,2.887,14100.0,11.0777,1111.0,5501.0,4.48,0.94,96.977875,74.00813,TBD,
11644,4141.01,CAND,3.6023144,2.812,9380.0,14.5476,1396.0,6338.0,4.21,1.45,87.952472,71.290609,TBD,
11645,4142.01,CAND,3.6579226,3.68,5040.0,13.4182,1514.0,5875.0,3.92,1.86,263.891395,35.276512,TBD,
11646,4144.01,CAND,16.9019988,5.765,15330.0,11.4518,785.0,5442.0,4.49,0.91,86.617798,75.045539,TBD,
11647,4145.01,CAND,4.0664531,1.9,19850.0,12.7314,1013.0,5421.0,4.54,0.86,39.429743,80.267384,TBD,
11648,4146.01,CAND,0.7010826,0.923,4340.0,11.153,1794.0,6036.0,4.13,1.51,274.417782,34.091383,TBD,
11649,4147.01,CAND,2.3745391,3.242,10260.0,13.2017,1697.0,5865.0,4.23,1.3,83.088172,79.809132,TBD,
11650,4148.01,CAND,3.6841446,2.967,2260.0,3.74263,1145.0,4939.0,4.55,0.79,30.021663,77.369001,TBD,
11651,4149.01,CAND,3.2925701,2.189,16760.0,12.1659,1044.0,5037.0,4.44,0.91,61.055097,75.496655,TBD,
11652,4150.01,CAND,9.7942872,3.541,3880.0,9.79579,932.0,5737.0,4.12,1.46,62.520982,70.915716,TBD,
11653,4151.01,CAND,11.7001127,3.842,3140.0,12.243,982.0,6906.0,3.94,2.16,287.427001,56.364271,TBD,
11654,4153.01,CAND,4.6174187,4.461,10730.0,17.5913,1547.0,6411.0,4.1,1.67,335.39347,82.216079,TBD,
11655,4154.01,CAND,7.3447164,4.923,3830.0,12.1123,1323.0,6320.0,3.94,1.99,332.9053,82.730642,TBD,
11656,4155.01,CAND,3.3207277,2.469,910.0,2.90578,1381.0,6142.0,4.55,0.95,325.636227,77.734384,TBD,
11657,4156.01,CAND,4.4616001,2.754,480.0,2.22153,1239.0,5986.0,4.45,1.04,230.780834,76.331882,TBD,
11658,4157.01,CAND,5.2898685,3.091,2390.0,6.51803,1877.0,6655.0,4.5,1.11,345.981898,85.443022,TBD,
11659,4159.01,CAND,0.8659539,0.876,1560.0,8.52945,1533.0,5815.0,3.89,1.92,115.451745,74.183878,TBD,
11660,4160.01,CAND,4.4427458,3.248,13290.0,12.1891,1208.0,5754.0,4.41,1.04,111.741144,72.229339,TBD,
11662,4162.01,CAND,4.3744338,5.356,8810.0,19.6553,1637.0,6013.0,3.86,2.05,290.391821,73.350122,TBD,
11663,4163.01,CAND,21.5617887,5.767,3580.0,7.63455,739.0,5644.0,4.22,1.28,290.057677,73.989657,TBD,
11664,4165.01,CAND,7.1407059,1.894,7160.0,13.5491,963.0,5463.0,4.42,1.0,316.012586,85.878209,TBD,
11665,4166.01,CAND,5.236168,2.843,860.0,2.85979,1082.0,5604.0,4.47,0.96,156.22955,84.754719,TBD,
11666,4167.01,CAND,14.7944045,3.419,9720.0,8.52413,616.0,5095.0,4.52,0.84,285.797008,57.388177,TBD,
11667,4168.01,CAND,29.3816254,2.595,5640.0,9.63711,519.0,6016.0,4.36,1.15,173.833691,79.413053,TBD,
11668,4169.01,CAND,3.4027288,5.234,2850.0,11.1933,1778.0,5661.0,3.77,2.18,311.820471,76.107008,TBD,
11669,4170.01,CAND,2.1902355,3.189,9110.0,15.1175,1761.0,5929.0,4.09,1.56,337.594234,77.865504,TBD,
11670,4171.01,CAND,3.7441174,1.865,2340.0,4.2948,1043.0,5133.0,4.56,0.81,286.720557,81.654539,TBD,
11671,4172.01,CAND,4.1917874,2.973,950.0,2.44738,1121.0,4996.0,4.56,0.79,268.045217,58.366826,TBD,
11672,4173.01,CAND,8.2712057,3.922,20800.0,13.8804,991.0,5921.0,4.5,0.97,175.198472,79.612558,TBD,
11673,4174.01,CAND,1.5568663,0.869,1160.0,7.79496,1310.0,6464.0,3.94,2.04,275.098441,71.161935,TBD,
11676,4178.01,CAND,2.2042197,1.088,3180.0,14.2163,1432.0,5702.0,4.14,1.42,192.13314,-13.65338,TBD,
11678,4182.01,CAND,27.8483156,4.1124146,350.4957359,3.0170142,746.1767371,5399.6,3.9,1.58653,45.914751,-69.747697,TBD,
11679,4183.01,CAND,11.7915574,1.6063345,661.9685157,3.2687802,943.8952366,6407.0,4.35687,1.24512,329.829884,-19.7446,TBD,
11680,4184.01,CAND,4.9019896,1.2792214,10902.01549,2.5326353,382.3997642,3147.0,5.04654,0.240807,43.828475,-79.414704,TBD,
11681,4185.01,CAND,16.5414025,3.4245155,1106.353478,3.3177036,560.6055529,4395.6,4.49,0.938435,172.227886,-38.106977,TBD,
11682,4186.01,CAND,12.7612027,3.6568621,678.5926285,2.3014101,687.6806355,5639.0,4.55041,0.87636,321.108012,-29.248223,TBD,
11683,4187.01,CAND,30.8812601,10.7723374,425.1596999,5.2996592,891.0210182,6047.0,3.7899,2.2319901,48.283944,-34.375416,TBD,
11684,4189.01,CAND,46.9621053,5.7665722,757.7887314,2.4680695,468.4562934,5744.0,4.56261,0.879321,81.348892,-44.431285,TBD,
11685,4190.01,CAND,15.6062307,3.6444849,659.0717891,2.1494954,593.9834944,5067.0,4.54195,0.816585,40.92402,-28.343988,TBD,
11686,4191.01,CAND,742.8561164,5.6483285,415.3404179,2.2756143,210.8499272,5816.0,4.37494,1.10194,151.707956,-29.966743,TBD,
11687,4192.01,CAND,4.2300182,1.847,3470.0,17.0408,1537.0,6064.1,4.18,1.44,23.788129,-41.507216,TBD,
11688,4193.01,CAND,6.5081212,5.472,8260.0,11.511,1299.0,5652.8,4.38,1.27,35.04738,-54.10332,TBD,
11689,4194.01,CAND,1.0432995,1.169,3260.0,6.51532,1705.0,5943.0,4.42,1.07,22.26623,-8.17935,TBD,
11690,4196.01,CAND,3.125924,2.985,18690.0,17.3686,1378.0,5828.0,4.28,1.24,16.001037,-31.68549,TBD,
11691,4197.01,CAND,3.9017499,1.845,27430.0,12.6062,816.0,4665.0,4.6,0.71,62.022558,-12.332383,TBD,
11692,4198.01,CAND,4.746318,3.117,12470.0,12.2509,1149.0,5648.0,4.36,1.09,59.018561,3.610113,TBD,
11693,4199.01,CAND,4.4466179,4.511,7930.0,16.7023,1659.0,6534.0,4.03,1.85,99.039982,6.472367,TBD,
