,PlanetName,HostName,PlanetLetter,NumberOfStars,NumberOfPlanets,NumberOfMoons,DiscoveryYear,OrbitalPeriod,OrbitSemiMajorAxis,PlanetEarthRadius,PlanetJupiterRadius,PlanetEarthMass,PlanetJupiterMass,PlanetProvenance,PlanetDensity,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarRadius,StellarMass,StellarMetallicity,StellarMetallicityRatio,StellarLuminosity,StellarSurfaceGravity,StellarAge,StellarDensity,RA[sexagesimal],RA[deg],Dec[sexagesimal],Dec[deg],GalacticLatitude,GalacticLongitude,EclipticLatitude,EclipticLongitude,TotalProperMotion,ProperMotion(RA),ProperMotion(Dec),Distance,Parallax
579,Kepler-1187 b,Kepler-1187,b,1,1,0,2016,18.87064068,0.1401,2.61,0.233,7.32,0.023,M-R relationship,2.26,701.0,5975.0,1.09,1.06,-0.01,[Fe/H],0.136,4.39,3.39,4.91133,19h07m34.08s,286.8919996,+38d19m06.61s,38.3185034,13.51035,69.33061,60.16823,297.27613,8.0766725,1.15029,-7.99434,1020.53,0.951686
580,Kepler-1188 b,Kepler-1188,b,1,1,0,2016,17.1369543,0.135,2.08,0.186,4.98,0.0157,M-R relationship,3.04,775.0,5913.0,1.06,1.04,0.0,[Fe/H],0.398,4.4,4.17,0.58322,18h52m24.92s,283.1038438,+43d08m52.98s,43.1480487,18.00328,72.83394,65.52053,293.52738,4.845228,3.72284,3.10108,1717.48,0.553261
581,Kepler-1189 b,Kepler-1189,b,1,1,0,2016,3.78858982,0.0467,1.77,0.158,3.78,0.0119,M-R relationship,3.75,1158.0,6012.0,1.16,1.11,0.08,[Fe/H],0.041,4.36,3.39,1.42473,19h53m42.34s,298.4264116,+47d56m48.55s,47.9468194,10.28813,81.9521,66.28627,322.45172,9.4800067,6.99646,6.39688,782.852,1.24877
582,Kepler-119 b,Kepler-119,b,1,2,0,2014,2.422082,0.035,3.6,0.321,12.6,0.0398,M-R relationship,1.48,1213.0,5595.0,0.84,0.92,0.01,[Fe/H],-0.037,4.57,3.63,1.35492,19h43m47.13s,295.9463854,+42d39m31.80s,42.6588324,9.25285,76.40109,62.2214,313.66095,18.6215814,-7.15026,-17.1941,701.996,1.39619
583,Kepler-119 c,Kepler-119,c,1,2,0,2014,4.125103,0.049,0.92,0.082,0.721,0.00227,M-R relationship,5.09,1016.0,5595.0,0.84,0.92,0.01,[Fe/H],-0.037,4.57,3.63,1.37114,19h43m47.13s,295.9463854,+42d39m31.80s,42.6588324,9.25285,76.40109,62.2214,313.66095,18.6215814,-7.15026,-17.1941,701.996,1.39619
584,Kepler-1190 b,Kepler-1190,b,1,1,0,2016,10.45843441,0.0845,1.33,0.119,2.33,0.00733,M-R relationship,5.44,609.0,4730.0,0.72,0.76,-0.02,[Fe/H],-0.727,4.62,3.98,2.94604,18h59m59.92s,284.9996582,+49d28m47.82s,49.4799506,18.96771,79.57519,71.27778,301.59279,8.4927012,4.68667,-7.08245,342.509,2.89083
585,Kepler-1191 b,Kepler-1191,b,1,1,0,2016,5.60014851,0.0587,1.51,0.135,2.89,0.00909,M-R relationship,4.61,952.0,5308.0,0.81,0.85,-0.08,[Fe/H],-0.226,4.56,4.57,2.26307,19h26m37.87s,291.6577923,+48d00m33.34s,48.0092619,14.34968,79.89817,68.31846,311.93702,9.7881334,6.34333,-7.45451,955.536,1.01819
586,Kepler-1192 b,Kepler-1192,b,1,1,0,2016,25.2034787,0.1693,2.36,0.211,6.17,0.0194,M-R relationship,2.58,600.0,5438.0,0.83,0.86,-0.16,[Fe/H],-0.128,4.55,4.47,2.33467,18h48m33.73s,282.1405603,+43d53m47.38s,43.8964934,18.91752,73.31959,66.40077,292.24408,13.460085,-1.34018,-13.3932,1304.19,0.738486
587,Kepler-1193 b,Kepler-1193,b,1,1,0,2016,2.83265213,0.0403,1.32,0.118,2.3,0.00724,M-R relationship,5.5,1453.0,5908.0,1.21,1.08,0.12,[Fe/H],0.351,4.31,5.01,0.48553,19h12m34.74s,288.1447323,+51d16m32.32s,51.2756446,17.72552,82.09102,72.22301,309.64913,10.3444568,-10.0531,2.43782,802.116,1.21792
588,Kepler-1194 b,Kepler-1194,b,1,1,0,2016,16.22371307,0.1212,1.51,0.135,2.89,0.00909,M-R relationship,4.61,676.0,5590.0,0.92,0.94,0.0,[Fe/H],-0.127,4.49,4.79,6.60457,19h26m47.88s,291.6994841,+38d08m42.74s,38.1452065,10.02508,70.8253,59.02047,304.39644,14.2863096,-10.6832,-9.48514,757.382,0.8357173
589,Kepler-1195 b,Kepler-1195,b,1,1,0,2016,8.49642241,0.0726,2.08,0.186,4.98,0.0157,M-R relationship,3.04,702.0,4965.0,0.71,0.74,-0.25,[Fe/H],-0.446,4.61,4.47,6.93388,18h57m24.25s,284.3510523,+40d51m10.55s,40.8529319,16.30468,70.94977,63.07871,294.46134,14.024655,-9.29273,-10.5041,918.566,1.06088
590,Kepler-1196 b,Kepler-1196,b,1,1,0,2016,66.1849031,0.3179,2.23,0.199,5.6,0.0176,M-R relationship,2.77,436.0,5756.0,0.97,0.98,0.0,[Fe/H],-0.047,4.46,3.98,5.34075,19h29m28.70s,292.369585,+43d54m39.12s,43.9108663,12.14041,76.31541,64.33091,309.26815,14.7168678,0.370634,14.7122,922.333,1.05577
591,Kepler-1197 b,Kepler-1197,b,1,1,0,2016,2.03231845,0.0283,1.25,0.112,2.1,0.0066,M-R relationship,5.91,1011.0,4708.0,0.72,0.78,0.06,[Fe/H],-0.666,4.62,2.69,7.75533,19h26m40.64s,291.6693437,+42d35m26.68s,42.5907441,12.01924,74.87347,63.26072,307.17057,8.947158,6.78281,5.83482,486.94,2.02521
592,Kepler-1198 b,Kepler-1198,b,1,1,0,2016,7.6847716,0.0732,1.47,0.131,2.76,0.00869,M-R relationship,4.77,830.0,5517.0,0.9,0.93,0.03,[Fe/H],-0.232,4.5,4.68,3.85065,19h15m20.15s,288.8339659,+44d50m17.51s,44.838198,14.82277,76.08521,66.04786,304.32397,11.1778134,-1.98472,-11.0002,743.03,1.31727
593,Kepler-1199 b,Kepler-1199,b,1,1,0,2016,15.0447198,0.1152,1.15,0.103,1.6,0.00505,M-R relationship,5.78,931.0,5889.0,1.17,0.94,-0.27,[Fe/H],0.187,4.27,7.76,0.6607,19h34m54.19s,293.7258092,+47d14m48.92s,47.2469219,12.76351,79.80955,67.05787,314.48415,13.5631058,-4.87138,-12.6581,563.493,1.7197799
594,Kepler-12 b,Kepler-12,b,1,1,0,2011,4.4379629,0.0553,19.661,1.754,137.30256,0.432,Mass,0.11,1480.0,5947.0,1.48,1.17,0.07,[Fe/H],0.449,4.17,4.0,0.50824,19h04m58.43s,286.2434458,+50d02m25.32s,50.0403671,18.40736,80.42341,71.53564,304.55707,4.4483512,3.05287,3.2354,881.386,1.1057
595,Kepler-120 b,Kepler-120,b,1,2,0,2014,6.312501,0.055,2.15,0.192,8.5,0.027,Mass,4.7,575.0,4096.0,0.53,0.65,-0.12,[Fe/H],-0.677,4.73,3.63,2.77559,19h11m33.98s,287.8915707,+39d20m20.75s,39.3390979,13.21918,70.61567,60.97003,299.31661,11.8122105,-10.1829,-5.98639,388.63,2.54441
596,Kepler-120 c,Kepler-120,c,1,2,0,2014,12.794585,0.088,1.53,0.136,2.96,0.0093,M-R relationship,4.54,455.0,4096.0,0.53,0.65,-0.12,[Fe/H],-0.677,4.73,3.63,2.77961,19h11m33.98s,287.8915707,+39d20m20.75s,39.3390979,13.21918,70.61567,60.97003,299.31661,11.8122105,-10.1829,-5.98639,388.63,2.54441
597,Kepler-1200 b,Kepler-1200,b,1,1,0,2016,1.11854972,0.0188,1.06,0.095,1.2,0.00377,M-R relationship,5.54,1174.0,4612.0,0.7,0.74,0.04,[Fe/H],-0.689,4.63,3.02,2.48278,19h46m24.82s,296.6034317,+44d07m45.31s,44.1292537,9.53918,77.94098,63.39416,315.86582,0.8037501,-0.27676,0.754598,588.715,1.67082
598,Kepler-1201 b,Kepler-1201,b,1,1,0,2016,15.18725932,0.1183,2.29,0.204,5.86,0.0184,M-R relationship,2.68,789.0,6177.0,1.24,1.15,0.03,[Fe/H],0.044,4.32,2.95,0.26952,19h38m27.55s,294.6147908,+40d49m59.22s,40.8331158,9.26258,74.29522,60.87017,310.34507,11.3985817,-6.45451,-9.39505,944.241,1.03091
599,Kepler-1202 b,Kepler-1202,b,1,1,0,2016,28.6851324,0.179,2.94,0.262,8.96,0.0282,M-R relationship,1.94,547.0,5834.0,1.04,1.03,0.06,[Fe/H],-0.134,4.42,4.17,0.87771,19h29m09.75s,292.290606,+44d39m11.62s,44.6532281,12.51696,76.97284,65.04532,309.75832,4.7158761,2.0761,-4.2343,1175.38,0.822781
600,Kepler-1203 b,Kepler-1203,b,1,1,0,2016,0.58800076,0.0114,1.06,0.095,1.2,0.00377,M-R relationship,5.54,1188.0,4105.0,0.61,0.64,0.01,[Fe/H],-0.854,4.67,3.47,2.81504,19h31m05.63s,292.7734523,+44d10m41.12s,44.178088,11.99808,76.69173,64.47829,310.11537,11.0516071,11.0439,-0.412665,317.022,3.1258
601,Kepler-1204 b,Kepler-1204,b,1,1,0,2016,85.7350285,0.3877,3.05,0.272,9.53,0.03,M-R relationship,1.85,448.0,5825.0,1.03,1.03,0.06,[Fe/H],-0.058,4.42,4.27,1.73921,19h17m45.97s,289.4415238,+42d29m53.33s,42.4981476,13.46382,74.069,63.68602,303.61448,3.7969122,3.77948,0.363419,1175.22,0.822404
602,Kepler-1205 b,Kepler-1205,b,1,1,0,2016,1.07839035,0.0196,1.41,0.126,2.57,0.00809,M-R relationship,5.04,1667.0,5226.0,0.81,0.84,-0.04,[Fe/H],-0.418,4.56,4.9,4.9894,19h21m07.12s,290.2796734,+41d30m54.18s,41.5150499,12.48421,73.42429,62.5617,304.27909,3.4212768,-2.40985,2.42853,698.485,1.40312
603,Kepler-1206 b,Kepler-1206,b,1,1,0,2016,1.21699766,0.0201,1.64,0.146,3.33,0.0105,M-R relationship,4.15,1314.0,4877.0,0.75,0.8,0.07,[Fe/H],-0.62,4.6,3.55,4.7099,19h43m45.21s,295.9383737,+49d47m28.08s,49.7911337,12.60425,82.81438,68.68633,320.97637,2.6201287,-2.20748,-1.41142,762.019,1.28463
604,Kepler-1207 b,Kepler-1207,b,1,1,0,2016,13.68237119,0.1156,1.62,0.145,3.26,0.0102,M-R relationship,4.21,802.0,5909.0,1.06,1.06,0.05,[Fe/H],0.638,4.41,3.63,0.8893,19h40m15.41s,295.0641963,+49d21m32.26s,49.3589615,12.91225,82.15527,68.57127,319.04587,5.2024972,-1.79809,-4.88189,1754.19,0.54123
605,Kepler-1208 b,Kepler-1208,b,1,1,0,2016,11.08507637,0.0901,2.32,0.207,5.99,0.0189,M-R relationship,2.64,665.0,5001.0,0.76,0.8,-0.03,[Fe/H],-0.553,4.59,4.47,19.93868,19h27m31.50s,291.8812445,+44d33m20.73s,44.5557587,12.73691,76.75288,65.05753,309.03031,2.9276967,1.53065,-2.4957,825.176,1.18475
606,Kepler-1209 b,Kepler-1209,b,1,1,0,2016,25.369116,0.18,1.51,0.135,2.89,0.00909,M-R relationship,4.61,755.0,6210.0,1.38,1.23,0.12,[Fe/H],0.343,4.24,3.09,0.89211,19h10m20.38s,287.5849352,+49d09m17.04s,49.1547328,17.27693,79.88527,70.39909,306.08648,9.7421866,0.550688,-9.72661,505.531,1.94973
607,Kepler-121 b,Kepler-121,b,1,2,0,2014,3.177422,0.039,2.34,0.209,6.08,0.0191,M-R relationship,2.61,997.0,5311.0,0.7,0.86,-0.08,[Fe/H],-0.474,4.65,0.5,9.36513,19h04m38.91s,286.1621273,+39d40m40.87s,39.6780204,14.57646,70.37852,61.62241,296.79221,11.0499041,10.9978,1.07181,510.523,1.93016
608,Kepler-121 c,Kepler-121,c,1,2,0,2014,41.008011,0.216,2.27,0.203,5.77,0.0182,M-R relationship,2.71,425.0,5311.0,0.7,0.86,-0.08,[Fe/H],-0.474,4.65,0.5,0.7794,19h04m38.91s,286.1621273,+39d40m40.87s,39.6780204,14.57646,70.37852,61.62241,296.79221,11.0499041,10.9978,1.07181,510.523,1.93016
609,Kepler-1210 b,Kepler-1210,b,1,1,0,2016,8.07124073,0.0753,1.7,0.152,3.53,0.0111,M-R relationship,3.95,856.0,5568.0,0.92,0.94,0.04,[Fe/H],-0.149,4.49,5.13,4.6734,19h31m19.72s,292.8321598,+48d13m09.62s,48.2193376,13.72935,80.4378,68.1917,314.10125,3.9173821,-1.24544,-3.71413,1176.53,0.821945
610,Kepler-1211 b,Kepler-1211,b,1,1,0,2016,11.01816836,0.0985,2.55,0.227,7.04,0.0221,M-R relationship,2.33,840.0,5705.0,0.94,0.96,-0.08,[Fe/H],0.134,4.48,4.17,0.13325,19h02m52.98s,285.7207618,+40d51m24.88s,40.8569116,15.34854,71.36435,62.8474,296.68304,11.7671817,-3.18907,-11.3268,1826.53,0.518186
611,Kepler-1212 b,Kepler-1212,b,1,1,0,2016,12.94130146,0.1082,2.14,0.191,5.22,0.0164,M-R relationship,2.93,795.0,6051.0,1.15,1.1,0.03,[Fe/H],0.211,4.36,3.24,1.15071,19h47m24.82s,296.8534096,+50d02m14.35s,50.0373196,12.19643,83.31751,68.61529,322.71964,8.6155201,-7.29082,-4.59033,1316.57,0.731062
612,Kepler-1213 b,Kepler-1213,b,1,1,0,2016,5.34982412,0.0635,1.19,0.106,1.81,0.0057,M-R relationship,5.9,1156.0,6050.0,1.21,1.14,0.13,[Fe/H],0.395,4.33,3.47,0.5599,19h17m56.60s,289.4858423,+50d56m39.11s,50.9441967,16.82071,82.09998,71.57349,311.67718,5.4593837,2.33707,4.93386,807.812,1.20905
613,Kepler-1214 b,Kepler-1214,b,1,1,0,2016,18.82634264,0.128,2.36,0.211,6.17,0.0194,M-R relationship,2.58,591.0,5130.0,0.8,0.85,0.05,[Fe/H],-0.419,4.57,4.68,12.56224,19h00m34.25s,285.1427113,+49d48m02.36s,49.8006565,18.9896,79.92744,71.55106,302.19428,11.6042975,11.5179,1.4134,729.227,1.34295
614,Kepler-1215 b,Kepler-1215,b,1,1,0,2016,4.76703963,0.0528,1.22,0.109,1.98,0.00624,M-R relationship,5.99,1046.0,5616.0,0.93,0.95,0.01,[Fe/H],-0.182,4.48,4.79,5.06537,19h49m51.28s,297.4636477,+48d10m53.03s,48.1813978,10.96452,81.84303,66.79481,321.29948,5.5298545,2.68318,-4.83527,661.022,1.48405
615,Kepler-1216 b,Kepler-1216,b,1,1,0,2016,4.37034536,0.0519,1.39,0.124,2.51,0.0079,M-R relationship,5.14,1191.0,5743.0,0.98,0.99,0.03,[Fe/H],0.073,4.46,4.07,1.64385,19h09m37.26s,287.4052661,+45d55m04.72s,45.917979,16.16963,76.70687,67.38748,302.76717,10.8912108,-10.5865,-2.55822,1258.36,0.766115
616,Kepler-1217 b,Kepler-1217,b,1,1,0,2016,2.03232507,0.0326,1.99,0.178,4.62,0.0145,M-R relationship,3.22,1542.0,5905.0,1.08,1.06,0.07,[Fe/H],0.085,4.4,3.8,3.35123,19h16m44.80s,289.1866841,+50d56m15.22s,50.9375614,16.9924,82.01835,71.64616,311.12545,2.2379739,1.8909,-1.19709,1347.71,0.713438
617,Kepler-1218 b,Kepler-1218,b,1,1,0,2016,22.9221266,0.1564,1.44,0.128,2.67,0.00839,M-R relationship,4.91,684.0,5986.0,1.1,1.06,-0.02,[Fe/H],0.363,4.38,3.8,0.21129,19h26m18.92s,291.5788505,+44d31m54.06s,44.5316825,12.92087,76.63511,65.11031,308.53104,19.4818242,-17.6532,-8.24051,840.503,1.16109
618,Kepler-1219 b,Kepler-1219,b,1,1,0,2016,16.10467749,0.1418,2.12,0.189,5.14,0.0162,M-R relationship,2.96,1159.0,5944.0,1.94,1.25,0.05,[Fe/H],0.926,3.97,4.37,0.06171,19h48m51.80s,297.2158443,+47d22m42.63s,47.3785082,10.72541,81.04443,66.15721,320.00759,6.151657,5.74417,-2.20168,880.895,1.10685
619,Kepler-122 b,Kepler-122,b,1,5,0,2014,5.766193,0.064,2.34,0.209,6.08,0.0191,M-R relationship,2.61,1159.0,6050.0,1.22,1.08,-0.06,[Fe/H],0.27,4.3,3.89,0.91393,19h24m26.85s,291.1118647,+39d56m56.49s,39.9490248,11.23653,72.26222,60.8791,304.56912,7.6868732,-2.87907,-7.12734,1027.45,0.944664
620,Kepler-122 c,Kepler-122,c,1,5,0,2014,12.465988,0.108,5.87,0.524,29.0,0.0912,M-R relationship,0.788,897.0,6050.0,1.22,1.08,-0.06,[Fe/H],0.27,4.3,3.89,0.89661,19h24m26.85s,291.1118647,+39d56m56.49s,39.9490248,11.23653,72.26222,60.8791,304.56912,7.6868732,-2.87907,-7.12734,1027.45,0.944664
621,Kepler-122 d,Kepler-122,d,1,5,0,2014,21.587475,0.155,2.2,0.196,5.48,0.0172,M-R relationship,2.83,747.0,6050.0,1.22,1.08,-0.06,[Fe/H],0.27,4.3,3.89,2.10549,19h24m26.85s,291.1118647,+39d56m56.49s,39.9490248,11.23653,72.26222,60.8791,304.56912,7.6868732,-2.87907,-7.12734,1027.45,0.944664
622,Kepler-122 e,Kepler-122,e,1,5,0,2014,37.993273,0.227,2.6,0.232,27.7,0.087,Mass,8.66,618.0,6050.0,1.22,1.08,-0.06,[Fe/H],0.27,4.3,3.89,1.08783,19h24m26.85s,291.1118647,+39d56m56.49s,39.9490248,11.23653,72.26222,60.8791,304.56912,7.6868732,-2.87907,-7.12734,1027.45,0.944664
623,Kepler-122 f,Kepler-122,f,1,5,0,2014,56.268,0.287,1.75,0.156,36.0,0.113,Mass,36.9,543.0,6102.0,0.95,1.03,-0.06,[Fe/H],0.27,4.35,3.89,0.93373,19h24m26.85s,291.1118647,+39d56m56.49s,39.9490248,11.23653,72.26222,60.8791,304.56912,7.6868732,-2.87907,-7.12734,1027.45,0.944664
624,Kepler-1220 b,Kepler-1220,b,1,1,0,2016,7.42693741,0.0734,1.52,0.136,2.92,0.0092,M-R relationship,4.57,899.0,5842.0,0.99,1.0,-0.04,[Fe/H],0.025,4.45,3.63,1.66158,19h48m16.90s,297.070398,+42d58m39.86s,42.9777396,8.68505,77.08701,62.2023,315.55673,5.5614744,4.53642,-3.21728,961.907,1.01233
625,Kepler-1222 b,Kepler-1222,b,1,1,0,2016,1.91694425,0.0282,0.79,0.07,0.418,0.00131,M-R relationship,4.66,1246.0,5239.0,0.8,0.84,-0.04,[Fe/H],-0.458,4.56,4.37,5.10616,19h39m33.51s,294.889616,+49d22m47.36s,49.3798215,13.02315,82.12187,68.64213,318.79555,13.419514,-0.128369,13.4189,415.218,2.3796
626,Kepler-1223 b,Kepler-1223,b,1,1,0,2016,16.301259,0.1186,1.22,0.109,1.98,0.00624,M-R relationship,5.99,557.0,4870.0,0.75,0.8,0.04,[Fe/H],-0.541,4.6,3.63,1.8193,19h01m10.96s,285.2956462,+44d33m09.92s,44.5527542,17.03433,74.80477,66.50444,298.13308,17.1831356,-15.8424,6.65421,459.957,2.14535
627,Kepler-1224 b,Kepler-1224,b,1,1,0,2016,13.32351601,0.1165,1.33,0.119,2.33,0.00733,M-R relationship,5.44,872.0,6155.0,1.22,1.18,0.14,[Fe/H],0.293,4.34,2.34,1.00393,19h06m30.18s,286.6257591,+37d32m14.33s,37.537313,13.3833,68.50921,59.45555,296.51506,3.1530332,2.47914,1.9482,559.598,1.75853
628,Kepler-1225 b,Kepler-1225,b,1,1,0,2016,7.01075434,0.0771,1.82,0.162,3.97,0.0125,M-R relationship,3.62,1453.0,6140.0,1.19,1.13,0.01,[Fe/H],0.333,4.34,3.02,5.68003,19h22m31.99s,290.6332748,+40d08m13.08s,40.1369671,11.64822,72.27105,61.166,303.9594,8.5580979,-3.78984,-7.67321,1347.52,0.713579
629,Kepler-1226 b,Kepler-1226,b,1,1,0,2016,17.2923453,0.1361,1.45,0.129,2.7,0.00849,M-R relationship,4.87,809.0,5923.0,1.02,1.02,-0.08,[Fe/H],0.359,4.43,3.72,0.44856,19h45m30.44s,296.3768521,+50d37m17.25s,50.6214592,12.73735,83.7023,69.2734,322.79094,4.4089436,-3.10827,-3.12689,1125.72,0.860293
630,Kepler-1227 b,Kepler-1227,b,1,1,0,2016,94.2887577,0.4092,2.29,0.204,5.86,0.0184,M-R relationship,2.68,369.0,5747.0,0.95,0.97,-0.04,[Fe/H],-0.158,4.47,4.17,6.27526,19h08m15.94s,287.0664109,+41d52m29.90s,41.8749712,14.81853,72.74433,63.58169,299.41665,12.2010896,6.99351,9.99787,623.706,1.57451
631,Kepler-1228 b,Kepler-1228,b,1,1,0,2016,0.57736958,0.0125,1.54,0.137,2.99,0.0094,M-R relationship,4.5,1757.0,5063.0,0.74,0.78,-0.18,[Fe/H],-0.555,4.59,5.13,4.14027,19h46m12.66s,296.552761,+46d57m58.30s,46.9661945,10.92515,80.45666,65.98758,318.56059,50.3022998,-46.4611,-19.2792,515.453,1.91138
632,Kepler-1229 b,Kepler-1229,b,1,1,0,2016,86.828989,0.3006,1.4,0.125,2.54,0.008,M-R relationship,5.09,212.0,3784.0,0.51,0.54,-0.06,[Fe/H],-1.533,4.75,3.72,4.35164,19h49m56.84s,297.4868347,+46d59m48.04s,46.9966782,10.38018,80.79418,65.73334,319.99143,22.0302647,21.6188,-4.23793,265.482,3.73881
633,Kepler-123 b,Kepler-123,b,1,2,0,2014,17.232366,0.135,2.94,0.262,55.3,0.174,Mass,12.0,817.0,6089.0,1.26,1.01,-0.03,[Fe/H],0.41,4.28,0.48,1.28263,19h47m59.66s,296.9985853,+42d46m55.07s,42.7819633,8.63544,76.88818,62.04209,315.29105,1.1696933,-0.34831,1.11663,1021.66,0.950448
634,Kepler-123 c,Kepler-123,c,1,2,0,2014,26.695074,0.181,1.48,0.132,2.79,0.00879,M-R relationship,4.73,706.0,6089.0,1.26,1.01,-0.03,[Fe/H],0.41,4.28,0.48,2.35995,19h47m59.66s,296.9985853,+42d46m55.07s,42.7819633,8.63544,76.88818,62.04209,315.29105,1.1696933,-0.34831,1.11663,1021.66,0.950448
635,Kepler-1230 b,Kepler-1230,b,1,1,0,2016,9.95661537,0.0921,2.71,0.242,7.8,0.0245,M-R relationship,2.15,946.0,5961.0,1.08,1.06,0.01,[Fe/H],0.096,4.4,3.47,3.20056,18h53m03.48s,283.2645129,+41d42m41.23s,41.7114526,17.37988,71.4697,64.09168,293.07985,7.5788054,-3.44101,-6.75261,1364.22,0.704679
636,Kepler-1231 b,Kepler-1231,b,1,1,0,2016,10.41725184,0.0914,1.42,0.127,2.6,0.00819,M-R relationship,4.99,870.0,5778.0,1.0,1.01,0.06,[Fe/H],0.023,4.44,4.17,1.2762,19h14m21.19s,288.5882888,+42d36m20.39s,42.6056644,14.08078,73.90304,63.97349,302.32385,9.3467597,-9.16815,-1.8185,987.237,0.984289
637,Kepler-1232 b,Kepler-1232,b,1,1,0,2016,26.7839183,0.1673,1.93,0.172,4.38,0.0138,M-R relationship,3.35,523.0,5471.0,0.89,0.92,0.06,[Fe/H],-0.359,4.51,4.79,1.8739,19h46m12.02s,296.5500966,+49d06m08.31s,49.102307,11.93253,82.37845,67.89125,321.03665,10.4434458,10.2173,-2.16156,632.865,1.55144
638,Kepler-1233 b,Kepler-1233,b,1,1,0,2016,45.1263042,0.263,2.6,0.232,7.27,0.0229,M-R relationship,2.27,604.0,6198.0,1.25,1.16,0.02,[Fe/H],0.221,4.3,2.88,1.32431,19h49m30.02s,297.3750954,+46d39m43.99s,46.6622201,10.28553,80.45898,65.4675,319.46641,1.2416108,-1.18071,-0.384085,1178.7,0.820419
639,Kepler-1234 b,Kepler-1234,b,1,1,0,2016,11.94014029,0.096,2.81,0.251,8.3,0.0261,M-R relationship,2.06,625.0,4967.0,0.76,0.8,0.01,[Fe/H],-0.454,4.59,4.37,3.80666,19h10m05.29s,287.5220359,+51d22m33.41s,51.3759464,18.12452,82.04089,72.47117,308.60689,15.0002581,-2.50568,14.7895,916.749,1.06285
640,Kepler-1235 b,Kepler-1235,b,1,1,0,2016,4.16055856,0.0491,0.79,0.07,0.418,0.00131,M-R relationship,4.66,985.0,5541.0,0.9,0.93,0.01,[Fe/H],-0.156,4.5,4.57,1.97455,18h59m36.74s,284.9030677,+43d57m14.62s,43.9540616,17.07616,74.11429,65.99826,297.07578,26.7226811,9.09729,25.1265,540.604,1.82094
641,Kepler-1236 b,Kepler-1236,b,1,1,0,2016,31.0571618,0.1803,2.14,0.191,5.22,0.0164,M-R relationship,2.93,480.0,5337.0,0.82,0.86,-0.09,[Fe/H],-0.379,4.55,4.07,6.0153,19h42m29.94s,295.6247375,+42d32m45.15s,42.5458739,9.40712,76.18608,62.20439,313.09944,2.9393115,2.53682,-1.48462,999.64,0.973229
642,Kepler-1237 b,Kepler-1237,b,1,1,0,2016,84.5733226,0.3778,2.86,0.255,8.55,0.0269,M-R relationship,2.01,366.0,5472.0,0.9,0.94,0.12,[Fe/H],-0.258,4.5,4.57,4.01964,19h42m31.03s,295.6292745,+44d41m26.09s,44.6905815,10.41831,78.10615,64.18538,314.92313,6.129054,-1.42436,-5.96125,1064.31,0.912359
643,Kepler-1238 b,Kepler-1238,b,1,1,0,2016,4.14787559,0.0541,1.93,0.172,4.38,0.0138,M-R relationship,3.35,1389.0,6386.0,1.48,1.3,0.05,[Fe/H],0.584,4.21,2.14,0.73308,19h51m37.38s,297.9057655,+40d09m46.22s,40.1628378,6.74946,74.9302,59.35929,314.5704,4.515416,-2.43467,-3.80281,1632.13,0.585003
644,Kepler-1239 b,Kepler-1239,b,1,1,0,2016,5.19104016,0.0625,2.9,0.259,8.75,0.0275,M-R relationship,1.97,1183.0,6564.0,1.57,1.4,0.22,[Fe/H],0.447,4.2,1.62,0.485,19h32m30.56s,293.1273357,+42d19m12.21s,42.3200578,10.93544,75.11442,62.64695,309.20274,7.9451187,-2.05648,-7.67436,2140.6,0.438967
645,Kepler-124 b,Kepler-124,b,1,3,0,2014,3.410493,0.039,0.73,0.065,0.315,0.00099,M-R relationship,4.45,892.0,4984.0,0.64,0.84,-0.46,[Fe/H],-0.467,4.67,1.82,2.23727,19h07m00.66s,286.7527322,+49d03m53.56s,49.0648788,17.75101,79.5885,70.50613,304.46755,8.7718998,-8.72374,-0.917925,420.046,2.35187
646,Kepler-124 c,Kepler-124,c,1,3,0,2014,13.821375,0.1,1.75,0.156,3.71,0.0117,M-R relationship,3.8,560.0,4984.0,0.64,0.84,-0.46,[Fe/H],-0.467,4.67,1.82,0.44622,19h07m00.66s,286.7527322,+49d03m53.56s,49.0648788,17.75101,79.5885,70.50613,304.46755,8.7718998,-8.72374,-0.917925,420.046,2.35187
647,Kepler-124 d,Kepler-124,d,1,3,0,2014,30.950851,0.17,1.11,0.099,1.41,0.00444,M-R relationship,5.67,428.0,4984.0,0.64,0.84,-0.46,[Fe/H],-0.467,4.67,1.82,0.07455,19h07m00.66s,286.7527322,+49d03m53.56s,49.0648788,17.75101,79.5885,70.50613,304.46755,8.7718998,-8.72374,-0.917925,420.046,2.35187
648,Kepler-1240 b,Kepler-1240,b,1,1,0,2016,4.8663815,0.0557,1.15,0.103,1.6,0.00505,M-R relationship,5.78,1121.0,5682.0,0.96,0.98,0.04,[Fe/H],0.223,4.47,4.07,3.35225,18h51m59.94s,282.9997682,+40d33m26.76s,40.5574322,17.14732,70.26775,63.00214,292.11566,9.6590081,6.46809,-7.17358,862.186,1.13114
649,Kepler-1241 b,Kepler-1241,b,1,1,0,2016,18.5525701,0.1336,2.63,0.235,7.41,0.0233,M-R relationship,2.24,612.0,5261.0,0.8,0.84,-0.09,[Fe/H],-0.324,4.56,4.68,1.47924,19h38m18.29s,294.5762033,+38d27m25.05s,38.4569588,8.16713,72.16176,58.63597,308.73688,10.6232203,-6.00075,-8.76606,968.722,1.00482
