,PlanetName,HostName,PlanetLetter,NumberOfStars,NumberOfPlanets,NumberOfMoons,DiscoveryYear,OrbitalPeriod,OrbitSemiMajorAxis,PlanetEarthRadius,PlanetJupiterRadius,PlanetEarthMass,PlanetJupiterMass,PlanetProvenance,PlanetDensity,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarRadius,StellarMass,StellarMetallicity,StellarMetallicityRatio,StellarLuminosity,StellarSurfaceGravity,StellarAge,StellarDensity,RA[sexagesimal],RA[deg],Dec[sexagesimal],Dec[deg],GalacticLatitude,GalacticLongitude,EclipticLatitude,EclipticLongitude,TotalProperMotion,ProperMotion(RA),ProperMotion(Dec),Distance,Parallax
2691,Kepler-955 b,Kepler-955,b,1,1,0,2016,14.53244172,0.1083,3.13,0.279,9.96,0.0313,M-R relationship,1.78,664.0,5350.0,0.84,0.89,0.02,[Fe/H],-0.409,4.54,4.37,4.1224,19h13m53.16s,288.4714969,+40d16m11.34s,40.2698157,13.19907,71.67536,61.7536,300.71755,7.8927638,5.99779,5.13052,550.383,1.78829
2692,Kepler-956 b,Kepler-956,b,1,1,0,2016,5.24867263,0.0596,3.0,0.268,9.27,0.0292,M-R relationship,1.89,1056.0,6040.0,1.15,1.1,0.02,[Fe/H],0.052,4.36,3.47,1.48273,19h30m07.40s,292.5308289,+49d03m41.96s,49.0616555,14.26979,81.13457,69.03961,314.57793,17.2616591,-0.89963,-17.2382,544.939,1.80622
2693,Kepler-957 b,Kepler-957,b,1,1,0,2016,5.90741354,0.0559,5.5,0.491,25.9,0.0816,M-R relationship,0.855,769.0,4963.0,0.75,0.81,-0.01,[Fe/H],-0.468,4.6,2.75,42.355,19h20m37.53s,290.1563633,+48d49m08.30s,48.818971,15.59047,80.24006,69.45536,310.2797,4.3249811,2.9127,-3.19713,824.688,1.18431
2694,Kepler-958 b,Kepler-958,b,1,1,0,2016,9.7678805,0.0852,2.06,0.184,4.9,0.0154,M-R relationship,3.08,749.0,5421.0,0.86,0.91,0.01,[Fe/H],-0.282,4.53,4.37,11.37484,19h09m01.60s,287.2566578,+46d04m00.21s,46.0667247,16.32186,76.80898,67.56086,302.63098,12.0286511,-4.70875,-11.0687,449.773,2.19447
2695,Kepler-959 b,Kepler-959,b,1,1,0,2016,14.80074836,0.1633,4.38,0.391,17.6,0.0555,M-R relationship,1.15,1912.0,7005.0,2.01,1.6,0.02,[Fe/H],0.738,4.04,1.35,0.45596,19h28m41.08s,292.171185,+40d48m40.99s,40.8113849,10.89592,73.41447,61.45508,306.70725,0.9648152,0.926419,0.269474,807.729,1.20954
2696,Kepler-96 b,Kepler-96,b,1,1,0,2014,16.2385,0.1235,2.67,0.238,8.46,0.027,Mass,2.26,711.0,5690.0,1.02,1.0,0.04,[Fe/H],-0.052,4.42,2.34,1.54,19h48m16.76s,297.0698263,+40d31m30.73s,40.5252039,7.48242,74.92809,59.92836,313.65629,35.5594178,32.8344,13.6519,122.881,8.10912
2697,Kepler-960 b,Kepler-960,b,1,1,0,2016,3.12686223,0.0414,2.29,0.204,5.86,0.0184,M-R relationship,2.68,1391.0,4755.0,0.72,0.77,0.02,[Fe/H],-0.629,4.61,3.63,8.96358,18h45m49.73s,281.4572217,+46d44m47.59s,46.7465538,20.30579,76.01081,69.28729,292.63379,19.4732045,1.83028,19.387,284.916,3.48098
2698,Kepler-961 b,Kepler-961,b,1,1,0,2016,16.87727414,0.1245,2.55,0.227,7.04,0.0221,M-R relationship,2.33,642.0,5582.0,0.9,0.96,0.05,[Fe/H],-0.194,4.51,2.82,2.82159,18h48m08.52s,282.0354942,+43d37m52.50s,43.6312491,18.89889,73.02863,66.15699,291.92301,0.8255584,0.198428,-0.801357,574.314,1.71244
2699,Kepler-962 b,Kepler-962,b,1,1,0,2016,12.05707239,0.0984,1.97,0.176,4.54,0.0143,M-R relationship,3.26,689.0,5478.0,0.86,0.93,0.01,[Fe/H],-0.261,4.54,2.4,8.14697,19h41m15.17s,295.3131906,+46d14m15.01s,46.2375024,11.3363,79.39397,65.68999,315.92026,6.6108224,6.4205,1.57485,411.486,2.40134
2700,Kepler-963 b,Kepler-963,b,1,1,0,2016,9.97683705,0.0849,2.66,0.237,7.56,0.0238,M-R relationship,2.21,802.0,5461.0,0.87,0.91,-0.02,[Fe/H],-0.225,4.52,4.07,2.2596,19h47m00.71s,296.7529742,+45d02m27.98s,45.0411049,9.88428,78.80407,64.18505,316.92142,2.6390539,0.393117,-2.60961,771.494,1.26769
2701,Kepler-964 b,Kepler-964,b,1,1,0,2016,13.5225106,0.1063,2.12,0.189,5.14,0.0162,M-R relationship,2.96,652.0,5427.0,0.84,0.93,0.03,[Fe/H],-0.306,4.55,1.91,2.03637,19h41m12.02s,295.300065,+40d33m23.69s,40.5565792,8.674,74.29744,60.43243,311.14786,0.9002824,0.0803118,-0.896693,454.626,2.171
