ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K06299.01,CAND,0.947554749,1.097,65.4,0.67,1633,1680.03,5508,4.569,0.84,286.07114,38.16761,TBD,N/A
K06301.01,CAND,50.271927,6.073,574.5,2.94,589,28.51,6520,4.375,1.215,292.40063,38.134579,TBD,N/A
K07879.01,CAND,128.208643,2.745,212.2,6.15,792,93.05,7128,3.52,3.811,290.80057,44.270512,TBD,N/A
K06557.01,CAND,6.63448023,3.603,71.2,1.04,1177,453.27,6463,4.313,1.225,296.92773,40.429661,TBD,N/A
K06687.01,CAND,1.002591901,1.247,143.2,0.87,1391,884.21,4893,4.574,0.739,297.61307,41.672829,TBD,N/A
K06689.01,CAND,3.37116682,4.708,71.4,0.98,1291,656.3,5653,4.288,1.163,284.57642,41.705971,TBD,N/A
K06954.01,CAND,6.613671,4.211,32.8,0.91,1266,607.33,6056,4.071,1.597,286.9454,43.899139,TBD,N/A
K06957.01,CAND,1.48062814,2.898,62.5,0.76,1653,1770.63,6187,4.499,0.937,296.35956,43.86676,TBD,N/A
K07088.01,CAND,2.68814059,1.12,145.2,0.92,1135,392.64,5636,4.613,0.734,294.59918,44.927689,TBD,N/A
K07093.01,CAND,97.991569,4.665,126.8,1.41,467,11.21,6499,4.378,1.169,286.55365,45.002338,TBD,N/A
K07220.01,CAND,1.057080807,1.82,60.6,0.97,1805,2518.85,6000,4.487,0.946,295.35825,46.343929,TBD,N/A
K07223.01,CAND,317.062416,7.438,442.9,1.59,218,0.54,5366,4.625,0.715,300.34525,46.339882,TBD,N/A
K07224.01,CAND,13.4959496,2.085,253.6,1.62,784,89.25,5962,4.464,1.019,283.11642,46.442699,TBD,N/A
K07354.01,CAND,43.2675604,8.331,69.1,1.61,664,45.99,5747,4.018,1.729,289.36646,47.923851,TBD,N/A
K07358.01,CAND,11.3251153,2.126,297.2,1.26,674,48.78,5334,4.574,0.727,291.70639,47.908581,TBD,N/A
K07483.01,CAND,16.9163386,2.521,64.2,0.68,648,41.74,5628,4.513,0.81,297.34726,50.04744,TBD,N/A
K07484.01,CAND,37.0200232,1.421,581,2.14,507,15.66,5685,4.537,0.886,286.10281,50.126541,TBD,N/A
