ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K03818.01,FPOS,1.908525084,4.169,218.9,3.74,3191,24558.81,9174,4.013,2.471,289.73917,41.965271,N/A,N/A
K07788.01,FPOS,0.798467681,0.86,120.7,0.82,1718,2064.49,5575,4.557,0.733,288.00983,42.14996,N/A,N/A
K03819.01,FPOS,0.867721348,4.8783,97653,67,2089,4487.7,5510,4.186,1.276,298.49457,40.731586,N/A,N/A
K03820.01,FPOS,161.252567,23.626,2911.5,5.04,318,2.41,5985,4.574,0.811,298.93143,40.404911,N/A,N/A
K03894.01,FPOS,1.673662758,2.3135,316.4,23.42,1729,2106.67,6444,4.433,1.053,298.14502,40.69809,N/A,N/A
K03895.01,FPOS,5.93717724,5.355,25450,594.32,1005,241.6,5780,4.438,1,289.17267,50.630558,N/A,N/A
K03896.01,FPOS,3.89043062,6.596,195.4,1.24,1106,354.22,5646,4.449,0.896,296.71689,41.504978,N/A,N/A
K03897.01,FPOS,16.8282542,39.098,655.3,2.66,668,46.95,5575,4.496,0.972,291.92963,39.067108,N/A,N/A
K03667.01,FPOS,2.489549075,2.4345,2829.7,59.57,1708,2007.56,6184,4.138,1.406,296.4747,48.85371,N/A,N/A
K03668.01,FPOS,4.469731089,5.257,3159.6,84.63,1614,1604.34,5758,3.808,2.318,300.78256,44.65501,N/A,N/A
K03669.01,FPOS,1.731803197,5.6803,44612,22.87,1526,1285.11,5761,4.426,1.029,289.25427,39.409729,N/A,N/A
K03670.01,FPOS,2.64830047,2.6395,12668,126.54,3042,20225.84,4839,2.761,9.278,293.09363,37.514511,N/A,N/A
K03743.01,FPOS,3.486318703,2.7904,60135,54.53,1201,491.1,5780,4.438,1,295.05191,40.012619,N/A,N/A
K03744.01,FPOS,1.705780649,1.6271,15498,25.95,1101,348.32,4970,4.665,0.591,295.06152,49.046558,N/A,N/A
K03745.01,FPOS,7.45306683,4.7617,46552,1044.28,932,178.53,5780,4.438,1,290.25198,37.763203,N/A,N/A
K03746.01,FPOS,2.929299629,7.102,83918,51.67,1272,618.11,5780,4.438,1,292.07089,50.546799,N/A,N/A
K03747.01,FPOS,5.50811352,2.9516,40380,34.03,778,86.57,5188,4.687,0.624,294.47,46.589581,N/A,N/A
K03821.01,FPOS,0.569115097,3.5028,585600,156.15,3357,29827.37,7174,4.13,1.705,290.64828,41.23407,N/A,N/A
K03822.01,FPOS,2.529073751,1.8827,1572.9,25.8,1137,395.83,5465,4.598,0.766,291.13748,45.11092,N/A,N/A
K03824.01,FPOS,0.916326699,3.1427,96384,50.7,1917,3196.67,6046,4.486,0.972,290.09695,41.97068,N/A,N/A
K03898.01,FPOS,1.306723495,6.606,12457,27.42,1170,443.02,4651,4.612,0.657,294.32037,45.501282,N/A,N/A
K03899.01,FPOS,0.7967202,4.25304,167720,56.89,1964,3497.4,5780,4.438,1,294.35196,38.604702,N/A,N/A
K03900.01,FPOS,359.102042,16.949,1102.9,28.76,290,1.67,6355,4.41,1.108,290.15457,50.259689,N/A,N/A
K03902.01,FPOS,2.69634575,3.785,185.2,1.46,1287,650.06,5418,4.335,1.051,283.78958,47.806431,N/A,N/A
K03903.01,FPOS,2.553924603,9.835,1680.1,32.67,1352,789.69,5993,4.489,0.986,298.45837,40.39193,N/A,N/A
K03671.01,FPOS,8.487871809,4.19829,118810,46.24,798,96,5553,4.558,0.855,280.8858,47.565632,N/A,N/A
K03672.01,FPOS,5.50817321,3.6845,226850,39.18,768,82.55,5051,4.663,0.644,294.47156,46.58923,N/A,N/A
K03673.01,FPOS,6.142812722,6.0751,96593,31.9,994,230.71,5780,4.438,1,292.02893,49.387688,N/A,N/A
K03674.01,FPOS,175.0658609,4.5181,45134,40.63,312,2.24,6021,4.57,0.819,292.16528,37.794048,N/A,N/A
K03675.01,FPOS,20.8392148,2.3321,177510,51.9,584,27.45,5378,4.488,0.812,294.96225,46.225609,N/A,N/A
K03676.01,FPOS,9.50158045,5.0701,443400,73.07,860,128.99,5780,4.438,1,299.68124,40.967922,N/A,N/A
K03747.02,FPOS,19.226055,2.949,3266,3.52,513,16.32,5193,4.689,0.621,294.47,46.589581,N/A,N/A
K03748.01,FPOS,2.050435466,8.0122,7765.3,34.84,1278,629.98,5440,4.496,0.825,287.16849,39.379581,N/A,N/A
K03750.01,FPOS,1.507101452,5.2005,15847,39.32,1573,1453.29,5884,4.453,0.876,297.26233,43.30434,N/A,N/A
K03751.01,FPOS,1.274841686,3.5903,50253,63.68,2025,3957.46,6211,4.247,1.281,300.72165,45.306702,N/A,N/A
K03825.01,FPOS,2.845746618,13.0719,557740,135.99,1667,1822.75,5641,3.948,1.776,296.67532,40.650009,N/A,N/A
K03826.01,FPOS,2.30120705,25.08,1688.1,28.64,1254,583.42,5641,4.554,0.85,294.22784,44.134739,N/A,N/A
K03827.01,FPOS,337.377514,12.136,6110,37.23,271,1.28,6029,4.452,0.998,295.73285,40.26078,N/A,N/A
K03828.01,FPOS,8.58965725,8.9793,1161.5,27.86,828,111.01,5697,4.539,0.892,298.82263,46.939129,N/A,N/A
K03904.01,FPOS,8.56751264,5.449,347.9,23.05,972,210.83,6212,4.42,1.054,299.52237,40.611252,N/A,N/A
K03905.01,FPOS,1.061934313,3.194,607,15.14,1104,352.77,4304,4.675,0.566,288.90912,44.591831,N/A,N/A
K03906.01,FPOS,2.406574511,3.4382,738,26.22,1481,1140.2,6167,4.428,1.107,292.69342,46.793892,N/A,N/A
K03907.01,FPOS,28.64338839,1.2246,624.3,5.82,871,136.32,6507,4.002,1.767,296.9978,42.65332,N/A,N/A
K07792.01,FPOS,96.231257,2.488,938,29.26,965,204.8,4895,2.674,9.529,296.44431,42.28735,N/A,N/A
K03677.01,FPOS,30.5528701,5.3367,63521,63.57,685,51.9,6441,4.367,1.165,290.96396,38.469501,N/A,N/A
K03679.01,FPOS,4.04506346,3.22222,360180,67.94,1143,402.77,5780,4.438,1,294.58798,40.167068,N/A,N/A
K03752.01,FPOS,1.433262145,5.6316,1849.5,5.67,1769,2319.46,5977,4.318,1.068,299.24219,41.62323,N/A,N/A
K03753.01,FPOS,0.782046543,1.9874,340460,43.07,1372,836.18,4768,4.661,0.591,290.26721,44.711441,N/A,N/A
K03754.01,FPOS,5.663604992,1.4283,163380,54.55,1021,257.36,5780,4.438,1,284.79047,45.230106,N/A,N/A
K03755.01,FPOS,18.07661035,3.1396,65280,39.16,533,19.14,4848,4.55,0.764,294.12576,46.797779,N/A,N/A
K03756.01,FPOS,6.47173281,7.1964,6472.7,13.68,1338,757.69,6318,4.079,1.685,296.69699,47.407627,N/A,N/A
K03830.01,FPOS,1.031100362,2.9759,129160,27.35,1584,1491.65,5666,4.601,0.752,296.14957,47.937832,N/A,N/A
K03831.01,FPOS,0.597933142,3.47133,284380,63.46,2161,5169.99,5780,4.438,1,299.07919,40.828976,N/A,N/A
K03832.01,FPOS,5.36652724,8.367,3122.5,7.97,982,219.72,5858,4.553,0.849,295.56024,43.203178,N/A,N/A
K03834.01,FPOS,1.540392098,3.7271,1022,17.63,1210,506.98,4911,4.564,0.724,286.93588,38.924469,N/A,N/A
K03910.01,FPOS,2.199076661,6.11,777.4,21.72,1179,457.33,5310,4.565,0.791,298.78415,47.655548,N/A,N/A
K03912.01,FPOS,7.77241144,5.272,286.9,1.69,938,183.58,6014,4.486,0.993,292.02042,39.16156,N/A,N/A
K03682.01,FPOS,11.34434745,5.9738,258240,62.52,810,101.92,5780,4.438,1,290.53476,44.774345,N/A,N/A
K03684.01,FPOS,0.876826336,3.6097,138370,37.24,2042,4095,6344,4.481,0.962,287.15314,45.983829,N/A,N/A
K03685.01,FPOS,208.8690972,4.5707,21307,29.95,316,2.34,5914,4.421,0.987,291.4946,44.523499,N/A,N/A
K03757.01,FPOS,1.98663794,4.7585,63156,134.5,3234,25932.61,9191,3.973,2.619,291.85333,42.30669,N/A,N/A
K03758.01,FPOS,13.54208867,4.9406,28869,26.65,727,66.01,5496,4.405,0.927,297.27789,43.56955,N/A,N/A
K03759.01,FPOS,7.549303633,2.3665,10223,34.45,794,93.96,5402,4.581,0.815,283.95078,44.669022,N/A,N/A
K03760.01,FPOS,0.77544539,1.8764,6791.4,35.53,1883,2974.07,5861,4.546,0.865,297.55621,43.854988,N/A,N/A
K07810.01,FPOS,308.255238,11.959,637.1,18.98,576,26.05,4852,2.896,7.797,280.99176,42.610538,N/A,N/A
K03836.01,FPOS,3.46724809,11.01,1317.3,2.52,841,118.15,4969,4.713,0.543,293.40939,43.225201,N/A,N/A
K03837.01,FPOS,7.4413445,2.8754,2234,43.5,1136,393.59,6540,4.321,1.183,287.3717,46.564838,N/A,N/A
K03838.01,FPOS,4.618309224,3.6752,1191,25.43,947,190.56,5452,4.572,0.815,296.39835,43.803532,N/A,N/A
K03839.01,FPOS,0.677761275,3.7085,877.9,22.15,1906,3136.01,5699,4.553,0.853,298.71072,47.037449,N/A,N/A
K03840.01,FPOS,2.845739012,11.9327,24392,44.7,1294,663.42,5982,4.493,0.96,296.67294,40.650982,N/A,N/A
K07789.01,FPOS,175.358905,5.34,215,2.9,420,7.36,5109,3.757,2.02,292.72238,42.242031,N/A,N/A
K03914.01,FPOS,12.42618005,28.1949,1522.8,3.48,551,21.8,4624,4.619,0.684,297.66675,40.65416,N/A,N/A
K03915.01,FPOS,2.189090653,5.2094,1027.1,23.25,1185,466.32,5401,4.593,0.777,285.89816,39.672218,N/A,N/A
K07794.01,FPOS,1.99492332,5.898,77.7,0.94,1451,1044.18,5957,4.498,0.971,291.85974,42.348701,N/A,N/A
K03686.01,FPOS,3.351573993,2.8758,54546,24.15,1282,638.3,5984,4.408,1.033,295.52621,46.457142,N/A,N/A
K03687.01,FPOS,8.097050622,5.6736,65620,24.01,891,149.48,5753,4.423,0.894,293.44687,37.72121,N/A,N/A
K03688.01,FPOS,2.119107262,7.5384,124650,77.23,1851,2775.75,6381,4.155,1.423,294.30389,40.192558,N/A,N/A
K07800.01,FPOS,0.887691177,1.644,37.3,1.53,2709,12704.16,5500,3.775,2.491,298.33722,42.432911,N/A,N/A
K03763.01,FPOS,0.888584158,2.25012,412710,43.7,1211,507.14,4324,4.639,0.616,290.99725,38.282616,N/A,N/A
K03765.01,FPOS,0.865959015,1.9058,291270,144.5,1162,434.65,4561,4.788,0.469,290.91916,50.696388,N/A,N/A
K03766.01,FPOS,0.594276199,2.0188,220740,266.99,1564,1414.7,4756,4.603,0.667,291.49286,39.050152,N/A,N/A
K03841.01,FPOS,1.527491117,7.9136,33546,27.85,988,224.31,4273,4.652,0.595,300.00583,44.718781,N/A,N/A
K07811.01,FPOS,0.566814046,4.049,42.1,0.56,2039,4073.9,5724,4.53,0.827,291.08887,42.613899,N/A,N/A
K03842.01,FPOS,0.61496383,1.93053,358050,44.79,1460,1074.84,4509,4.612,0.663,294.35965,46.125389,N/A,N/A
K03843.01,FPOS,161.253747,25.322,2598.4,4.98,295,1.8,5570,4.573,0.803,298.94003,40.419441,N/A,N/A
K03844.01,FPOS,2.974163938,1.7423,90282,34.74,1266,605.99,5780,4.438,1,281.43701,42.727314,N/A,N/A
K03845.01,FPOS,15.84131693,1.8156,2617.7,670.04,2252,6085.07,4993,2.399,19.695,296.61591,50.021709,N/A,N/A
K03926.01,FPOS,0.831741499,2.297,1231.1,41.62,2198,5501.14,6343,4.408,1.14,294.75632,49.792091,N/A,N/A
K03927.01,FPOS,4.44737112,19.45,224.4,2.06,1068,307.65,5472,4.382,0.981,284.39655,45.13604,N/A,N/A
K03690.01,FPOS,12.89301802,3.30029,16033,62.52,1004,240.5,6387,4.178,1.408,294.16989,46.425289,N/A,N/A
K03691.01,FPOS,4.532416322,3.2864,34953,62.25,1328,735.27,6306,4.283,1.281,293.08649,39.801788,N/A,N/A
K03692.01,FPOS,1.160153553,2.16452,12302,60.47,2183,5363.78,6200,4.161,1.382,298.65833,41.138882,N/A,N/A
K03693.01,FPOS,4.032760214,2.7194,10803,378.61,2582,10499.43,4969,2.899,9.433,295.80582,43.304451,N/A,N/A
K03694.01,FPOS,3.723552982,3.5632,40143,18.83,1176,452.71,6063,4.51,0.89,290.41669,41.52578,N/A,N/A
K07801.01,FPOS,2.21396079,3.452,119.4,0.87,1123,375.04,4922,4.505,0.823,284.31454,42.589321,N/A,N/A
K03768.01,FPOS,11.35501209,14.557,19675,8,534,19.29,4594,4.679,0.567,291.08334,40.566639,N/A,N/A
K03769.01,FPOS,1.195515251,5.0834,8054.4,49.33,1959,3469.7,6040,4.271,1.155,297.54337,41.947979,N/A,N/A
K03771.01,FPOS,5.80184753,3.9551,22143,14,989,225.81,5687,4.426,0.921,298.77109,47.785412,N/A,N/A
K03772.01,FPOS,2.38404983,3.2849,312730,66.14,1363,815.42,5780,4.438,1,299.64487,40.690601,N/A,N/A
K03846.01,FPOS,5.24078259,5.238,592.6,24.73,1080,322.16,6192,4.503,0.917,298.84415,43.725361,N/A,N/A
K03847.01,FPOS,5.26641416,2.4404,223.8,2.62,1421,964.18,6338,4.087,1.602,293.96725,42.833279,N/A,N/A
K03849.01,FPOS,0.604358764,1.0423,38731,23.28,997,235.63,3569,4.82,0.427,290.51895,45.235371,N/A,N/A
K03850.01,FPOS,11.3775281,12.918,1651.3,82.26,1177,453.61,6943,4.162,1.66,300.19409,45.145741,N/A,N/A
K03851.01,FPOS,0.7981968,2.22035,257620,62.38,1963,3497.4,5780,4.438,1,296.99054,46.598999,N/A,N/A
K03917.01,FPOS,0.695954898,1.469,318.1,2.58,2740,13264.33,6737,4.243,1.425,297.13989,49.381618,N/A,N/A
K03918.01,FPOS,0.948951607,4.3809,458460,115.31,1853,2796.38,5780,4.438,1,293.24536,38.272182,N/A,N/A
K03919.01,FPOS,19.37070781,2.2466,653.2,108.54,1180,458.92,5321,3.416,4.335,290.1377,39.765202,N/A,N/A
K03920.01,FPOS,14.46993942,7.455,1235.3,85.84,1713,2033.61,4735,2.715,9.043,290.22916,37.76141,N/A,N/A
K03921.01,FPOS,1.278555003,1.4247,1478,5.19,1515,1241.92,5636,4.557,0.827,295.08237,47.08625,N/A,N/A
K03695.01,FPOS,2.244600029,1.9204,8611,27.47,1190,475.37,5256,4.502,0.802,296.4682,43.80146,N/A,N/A
K03696.01,FPOS,181.8521773,5.7725,27559,46.38,333,2.91,6063,4.476,1.012,287.62381,40.605469,N/A,N/A
K03697.01,FPOS,223.1127475,8.9683,11539,46.33,332,2.87,6211,4.389,1.056,291.63467,44.647598,N/A,N/A
K03698.01,FPOS,15.64064161,6.4524,273310,77.18,921,169.73,6517,4.279,1.374,293.61035,39.415089,N/A,N/A
K07802.01,FPOS,43.8496474,2.217,452.3,21.42,1286,645.68,4893,2.644,10.363,285.99533,42.534199,N/A,N/A
K03775.01,FPOS,0.752158047,2.42733,37879,106.66,2869,15978.36,5770,3.844,2.221,297.10815,42.752918,N/A,N/A
K03776.01,FPOS,3.796488133,11.0659,3007.6,40.83,1233,547.94,6137,4.46,1.018,295.83008,45.789822,N/A,N/A
K03852.01,FPOS,1.233076007,12.506,1392.4,31.39,1513,1237.97,5602,4.571,0.817,298.00113,40.047878,N/A,N/A
K03853.01,FPOS,21.5135234,77.983,1583.8,534.47,1006,242.54,5088,3.508,3.318,287.46786,37.96664,N/A,N/A
K07784.01,FPOS,19.4444573,5.509,182.3,1.53,749,74.47,6278,4.425,1.081,294.504,41.968159,N/A,N/A
K03854.01,FPOS,1.1910489,1.3738,1391.1,22.76,1348,781.99,5089,4.58,0.693,292.922,38.670292,N/A,N/A
K03855.01,FPOS,0.546248198,2.1081,114530,54.23,2227,5820.72,5780,4.438,1,287.13596,37.838306,N/A,N/A
K03856.01,FPOS,1.811966339,3.792,408.1,95.19,2573,10360.38,5904,3.602,3.348,299.85965,40.56395,N/A,N/A
K03922.01,FPOS,66.1539783,5.896,6951,9.69,468,11.3,6077,4.471,0.999,288.92923,42.529202,N/A,N/A
K03923.01,FPOS,158.3226379,2.1881,4863,25.41,211,0.47,4340,4.67,0.572,293.07538,40.122139,N/A,N/A
K03924.01,FPOS,1.592634161,8.9488,155160,100.2,2255,6128.09,6574,4.061,1.768,291.76633,37.097191,N/A,N/A
K03699.01,FPOS,3.31577795,4.2349,94567,27.77,1104,349.78,5528,4.516,0.849,290.32596,37.76152,N/A,N/A
K03700.01,FPOS,2.990252395,7.8462,216440,89.85,1264,603.02,5780,4.438,1,287.75238,38.929794,N/A,N/A
K03701.01,FPOS,2.08043378,7.708,6861.2,510.48,1629,1661.27,6377,4.399,1.119,299.02432,41.823719,N/A,N/A
K03702.01,FPOS,4.944046127,4.50334,112500,54.29,1069,308.53,5780,4.438,1,292.69629,37.707237,N/A,N/A
K03703.01,FPOS,4.464565251,4.0221,74112,43.21,1024,259.97,5743,4.553,0.853,299.54694,40.861271,N/A,N/A
K03704.01,FPOS,1.523298835,5.9083,195070,38.95,1404,919.42,5311,4.469,0.866,290.17883,37.848949,N/A,N/A
K03778.01,FPOS,3.539631353,1.5372,1229.7,39.34,2214,5689.3,7021,3.759,2.629,290.43008,51.271549,N/A,N/A
K03779.01,FPOS,6.195861785,2.6078,3509.8,215.89,883,143.74,5608,4.573,0.813,296.63696,40.366982,N/A,N/A
K07803.01,FPOS,0.566805514,4.367,85.3,0.82,1920,3193.9,5115,4.439,0.917,290.96289,42.570709,N/A,N/A
K03780.01,FPOS,27.961084,3.8741,6268.2,21.5,796,94.86,6770,4.249,1.361,291.38675,42.260509,N/A,N/A
K03782.01,FPOS,186.5168116,3.1968,5752.4,37.5,452,9.83,5018,3.639,2.99,295.08725,49.169899,N/A,N/A
K03783.01,FPOS,197.1455327,2.1145,5664,72.16,498,14.53,7214,4.093,1.935,294.67377,46.122673,N/A,N/A
K03857.01,FPOS,0.532087933,3.45028,510370,74.83,2247,6002.61,5780,4.438,1,296.96957,50.067093,N/A,N/A
K03858.01,FPOS,3.204222652,2.7952,898.4,23.55,979,217.46,5139,4.609,0.741,291.04214,51.026321,N/A,N/A
K03859.01,FPOS,0.687898282,3.96401,293500,55.58,2062,4267.13,5780,4.438,1,282.1741,46.45676,N/A,N/A
K03860.01,FPOS,2.178154774,3.5302,662.6,19.46,1180,457.16,5515,4.624,0.712,288.00998,46.306061,N/A,N/A
K03861.01,FPOS,0.99466172,1.576,1370.5,31.84,1898,3078.85,5750,4.332,1.021,300.439,44.663319,N/A,N/A
K03862.01,FPOS,359.00688,32.16,2015.8,28.57,237,0.74,5715,4.537,0.834,291.18866,38.751259,N/A,N/A
K03929.01,FPOS,121.0598037,3.112,1563,1680.99,1792,2437.81,3942,1.101,60.688,300.4682,44.981426,N/A,N/A
K07790.01,FPOS,0.721335207,1.509,31.8,0.54,2162,5166.26,6328,4.489,0.948,293.66803,42.223511,N/A,N/A
K03930.01,FPOS,3.28274272,8.9,292.8,1.85,1136,392.7,5741,4.533,0.82,289.86264,49.637299,N/A,N/A
K03931.01,FPOS,1.231361934,5.433,471,2.93,1839,2707.51,6095,4.378,1.016,290.27328,47.986469,N/A,N/A
K03705.01,FPOS,2.080431782,7.4997,894200,345.7,2719,12956.98,8344,4.04,2.115,299.02353,41.82198,N/A,N/A
K03706.01,FPOS,1.157804607,4.66082,605710,118.11,2255,6116.99,6510,4.219,1.425,297.18048,43.477112,N/A,N/A
K03707.01,FPOS,19.979098,10.5638,38418,22.98,739,70.59,5907,4.296,1.126,299.15503,40.288132,N/A,N/A
K03708.01,FPOS,1.433262401,6.2205,428560,136.47,2691,12427.14,7311,4.013,1.959,299.24063,41.621681,N/A,N/A
K03784.01,FPOS,23.8706941,3.4812,6386.3,49.6,711,60.38,6022,4.308,1.166,285.8418,40.925449,N/A,N/A
K07804.01,FPOS,0.566769068,3.011,40,1.06,2661,11897.94,5496,3.998,1.533,291.0571,42.583359,N/A,N/A
K03785.01,FPOS,6.2820426,7.941,1413,23.76,2021,3938.81,6635,3.511,3.798,295.61594,39.196709,N/A,N/A
K03786.01,FPOS,0.97430309,2.1088,34976,37.62,1643,1728.18,5688,4.583,0.786,291.98416,38.088371,N/A,N/A
K03862.02,FPOS,119.686505,29.33,842.7,23,341,3.21,5715,4.537,0.834,291.18866,38.751259,N/A,N/A
K03863.01,FPOS,53.556625,16.18,3963,26.31,1076,317.03,7643,3.639,3.618,300.40677,44.414188,N/A,N/A
K03630.01,FPOS,7.061149921,3.33515,131260,43.71,842,118.87,5585,4.564,0.798,284.67484,47.340809,N/A,N/A
K03631.01,FPOS,2.682767439,4.58143,394410,70.67,1310,695.41,5780,4.438,1,291.88657,44.224564,N/A,N/A
K03632.01,FPOS,3.711012492,3.3394,7559.8,46.24,1310,695.05,6141,4.365,1.117,289.69757,38.408852,N/A,N/A
K03633.01,FPOS,1.780982447,3.4297,357700,60.45,1502,1204.3,5780,4.438,1,288.76028,50.176834,N/A,N/A
K03634.01,FPOS,1.815632406,3.35773,61574,108.78,3429,32652.55,9954,4.07,2.408,291.63495,41.76569,N/A,N/A
K03709.01,FPOS,205.5833309,6.0353,24872,42.69,323,2.58,6328,4.516,0.915,291.52313,37.887642,N/A,N/A
K03710.01,FPOS,4.309067482,2.21,23647,101.41,882,142.6,4897,4.526,0.789,294.29193,46.161968,N/A,N/A
K07797.01,FPOS,36.4721523,2.673,52.6,0.7,527,18.29,5853,4.529,0.895,287.94504,42.413551,N/A,N/A
K03711.01,FPOS,111.0396205,25.751,9356.2,8.6,335,2.97,5470,4.509,0.777,299.84598,40.84531,N/A,N/A
K03712.01,FPOS,3.187087241,7.2897,129090,928.96,4037,62743.06,4599,2.137,23.673,290.19952,37.776989,N/A,N/A
K03713.01,FPOS,1.023470248,2.3804,129530,100.39,1807,2522.39,5780,4.438,1,300.45883,43.936024,N/A,N/A
K03714.01,FPOS,0.875267982,1.6038,11701,39.19,1910,3157.34,5821,4.402,0.898,294.31912,49.532131,N/A,N/A
K03788.01,FPOS,5.55260695,4.1178,727.6,2674.69,6436,404932.04,3306,0.273,116.965,292.4393,45.952358,N/A,N/A
K03789.01,FPOS,2.347479696,26.25,81996,60.5,1502,1207.51,5891,4.305,1.138,298.28323,45.130939,N/A,N/A
K07805.01,FPOS,1.13353095,3.17,18.5,0.49,2006,3840.87,6318,4.36,1.121,291.15805,42.576279,N/A,N/A
K03790.01,FPOS,0.890745373,1.9215,120030,36.92,1892,3015.62,5780,4.438,1,295.78812,42.846355,N/A,N/A
K03792.01,FPOS,2.723858181,1.4313,5497,7.13,900,154.53,4416,4.57,0.733,289.34863,50.482861,N/A,N/A
K03793.01,FPOS,0.635441862,1.9827,147610,56.3,2118,4750.98,5780,4.438,1,285.08014,39.183899,N/A,N/A
K03865.01,FPOS,3.255189932,2.7117,119.2,1.39,1390,880.52,5807,4.23,1.256,292.52734,40.745201,N/A,N/A
K03866.01,FPOS,2.531140101,20.399,11786,32.12,1100,346.06,5325,4.607,0.75,298.57938,40.365108,N/A,N/A
K03868.01,FPOS,2.992704682,1.2585,361.1,7.86,2328,6932.19,5908,3.497,3.915,299.55338,45.522049,N/A,N/A
K03869.01,FPOS,6.12810722,2.824,2336,39.52,1513,1237.9,7245,4.158,1.667,293.5192,41.671791,N/A,N/A
K03635.01,FPOS,2.115511511,8.5116,25805,36.16,897,152.34,4188,4.615,0.661,287.17935,38.433701,N/A,N/A
K03636.01,FPOS,2.446736567,5.0201,415860,71.52,1351,788.17,5780,4.438,1,298.95847,40.863552,N/A,N/A
K03637.01,FPOS,21.3779536,24.872,255240,173.18,1062,300.32,4905,3.3,3.484,293.65988,40.361942,N/A,N/A
K03638.01,FPOS,4.350460215,2.5276,50424,533.08,1472,1107.34,6585,4.208,1.416,290.22836,40.355389,N/A,N/A
K03639.01,FPOS,22.77194512,10.1995,30246,251.93,1254,584.54,5073,3.02,4.61,298.91165,47.658298,N/A,N/A
K03715.01,FPOS,9.84883968,5.7425,22012,63.42,1134,390.19,6938,4.281,1.31,295.33884,40.037289,N/A,N/A
K03717.01,FPOS,227.6625222,5.5072,13895,44.24,319,2.46,6124,4.414,1.007,290.58289,48.960411,N/A,N/A
K03718.01,FPOS,1.06100873,2.6715,6367.1,9.14,1568,1434.99,5080,4.417,0.947,297.87793,40.10471,N/A,N/A
K03719.01,FPOS,0.623393802,1.40392,30192,28.21,1379,849.08,4330,4.628,0.639,294.31943,46.619598,N/A,N/A
K07806.01,FPOS,0.566793534,4.714,92.4,122.64,14667,10947554.55,3420,0.269,138.056,291.18686,42.591022,N/A,N/A
K03795.01,FPOS,1.873380717,10.1083,538720,89.79,1669,1830.27,5992,4.283,1.171,290.47421,38.427368,N/A,N/A
K03796.01,FPOS,1.87337894,9.1328,5444,51.11,2925,17342.01,4740,2.9,5.721,290.47714,38.42691,N/A,N/A
K03797.01,FPOS,7.50023955,2.916,273.2,21.06,901,155.6,5849,4.517,0.919,295.36914,40.787121,N/A,N/A
K03870.01,FPOS,23.6270348,11.481,8433,21.71,560,23.17,5305,4.477,0.857,299.21881,44.181862,N/A,N/A
K03871.01,FPOS,0.716709897,0.7466,932.5,66.73,3124,22605.13,5173,3.471,2.742,282.19843,46.52029,N/A,N/A
K03872.01,FPOS,2.248063246,5.1297,631.7,30.38,1566,1421.38,6325,4.409,1.112,294.77063,39.751202,N/A,N/A
K03873.01,FPOS,63.3278636,47.0744,11515,54.17,896,152.49,4919,2.979,5.198,291.55862,44.48819,N/A,N/A
K03640.01,FPOS,245.4382021,14.502,11312,19.17,289,1.66,5637,4.383,0.99,298.7836,43.854832,N/A,N/A
K03641.01,FPOS,178.4129899,2.9298,37510,33.24,361,4,6078,4.346,1.148,288.32785,38.627621,N/A,N/A
K03642.01,FPOS,2.192004364,3.075,99583,37.56,1118,369.54,5306,4.642,0.687,290.93845,37.701172,N/A,N/A
K03643.01,FPOS,3.900109346,3.9037,126190,40.37,1160,427.83,5791,4.424,0.969,290.34445,38.377071,N/A,N/A
K03644.01,FPOS,1.471060209,4.3708,148440,165.15,3693,43941.18,8749,3.806,2.911,295.74377,50.830921,N/A,N/A
K03720.01,FPOS,213.3990406,6.5043,13930,35.2,468,11.32,6960,4.069,1.83,293.49066,48.095371,N/A,N/A
K03721.01,FPOS,6.40802979,2.9288,7784.1,51.44,1157,424.01,6261,4.293,1.194,295.15491,43.444321,N/A,N/A
K03723.01,FPOS,0.962835804,4.9844,14328,458.02,7100,602806.92,3982,1.464,32.244,297.69974,40.641468,N/A,N/A
K03724.01,FPOS,4.639602084,3.4636,25079,19.96,1285,643.95,6078,4.223,1.194,296.35413,48.863621,N/A,N/A
K03798.01,FPOS,2.991885335,7.4319,1356.9,3.94,1209,505.77,5750,4.464,0.839,298.57819,40.67548,N/A,N/A
K03799.01,FPOS,1.327471395,5.2334,5673.8,7.08,1395,892.4,5232,4.519,0.777,299.81671,45.332821,N/A,N/A
K07807.01,FPOS,0.566792595,2.637,19.9,0.5,2548,10020.28,6277,4.322,1.121,291.24664,42.562382,N/A,N/A
K03800.01,FPOS,1.247156944,2.6779,134760,26042.9,4120,68223.38,4770,2.605,9.67,294.10733,46.209469,N/A,N/A
K03802.01,FPOS,2.119100054,8.2163,1651.1,34.34,1571,1435.29,6292,4.426,1.078,294.30585,40.193779,N/A,N/A
K03874.01,FPOS,1.466535757,0.8222,1346.4,4.28,1671,1849.31,5888,4.387,1.02,292.35748,49.514511,N/A,N/A
K03875.01,FPOS,8.870415578,1.2864,873.1,39.46,1151,414.26,6022,4.027,1.514,290.14914,50.239178,N/A,N/A
K07786.01,FPOS,1.49131759,4.721,25.8,1.26,2475,8873.77,6014,3.782,2.429,298.30786,41.965389,N/A,N/A
