,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU,StarClassification,MainSequence,PlanetEarthSize,StellarSunSize
12606,902.01,CAND,18.2587103,1.5823533,1787.726292,12.3447853,1109.96381,358.7205674,7142.0,4.15713,2.2950301,259.49578,-45.883555,TBD,,5.361154203566497,0.004624780067299835,F,0,7880.236154667303,50.63534422811142
12607,903.01,CAND,7.2766004,4.626,2440.0,11.5799,1374.0,591.917,6266.0,4.27,2.21,57.489027,-72.793731,TBD,,3.058752699893758,0.0027194548338373833,F,0,6504.33702429136,45.21321922862583
12608,904.01,CAND,10.8771964,2.8426561,1773.066781,2.4919641,433.1224527,8.3169443,3992.0,4.61929,0.532439,89.371273,-83.129726,TBD,,0.12140107136047021,0.004570560238566008,K,0,64.82073537109562,0.63226360988431
12609,906.01,CAND,1.6648359,1.8114336,1402.696383,15.799859,1584.301773,1488.924357,5954.53,3.68582,2.8959,239.825514,-49.366664,TBD,,3.268617046923371,0.0017724980962071527,G,0,16521.453147473567,101.72771558868705
12610,907.01,CAND,4.5848658,5.2113075,2064.936164,9.5327283,1644.796376,1729.695132,6272.0,3.8399,2.0597899,262.183407,-62.840383,TBD,,2.8617892820475763,0.0015387714460557793,F,0,3628.6096763691103,36.60643044626187
12611,908.01,CAND,3.1837681,2.379563,837.5281599,3.1415723,1217.649333,519.5291765,5500.0,4.99,1.0523601,53.159427,-81.250745,TBD,,0.8645809484291148,0.001543255855521572,G,1,129.87626370554494,4.881819636393924
12612,910.01,CAND,2.0290882,0.6939812,978.0627035,0.9291472,552.8129815,22.0716059,3194.0,4.96718,0.287497,290.23794,-82.559788,TBD,,0.026863555593596797,0.0013197900644307515,M,1,3.360022431448679,0.09953791994505995
12613,911.01,CAND,8.5841826,1.951,8020.0,16.6337,940.0,129.678,5963.0,4.438,1.45,262.335243,-38.645969,TBD,,1.6459542871737964,0.0042620231737977715,G,0,19277.699338048864,12.770050538066911
12614,912.01,CAND,4.6780703,1.491,1400.0,1.81115,535.0,13.6654,3566.0,4.83519,0.43,229.328567,-80.473345,TBD,,0.06242870709940249,0.002556943137689999,M,1,24.885815094311543,0.33303814281195154
12615,913.01,CAND,11.094122,3.309572,1131.990523,2.558498,625.1381067,36.093159,4948.0,4.60394,0.745964,234.572324,-80.803427,TBD,,0.40144602564879234,0.003989708885605955,K,1,70.15261344601429,1.7387703123688045
