ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K01916.02,CFRM,0.026283182642026007,4.3206,271.2,Neptune-like,Kepler-336 c,0.5553256927899687,5.1244456182054926e-05,G,0,3.792156862745098,1.0904122396572358
K01990.01,CFRM,0.06778306694045175,6.998,458.7,Neptune-like,Kepler-1041 b,0.4217331912225705,6.01136889827952e-05,F,0,2.5254901960784313,1.0460940885791346
K01996.01,CFRM,0.02773991937029432,3.1683,911.6,Neptune-like,Kepler-1042 b,0.24491958620689658,4.114338549232295e-05,K,0,2.2509803921568627,0.5617488831071344
K01997.01,CFRM,0.10542155783709788,5.941,695.2,Neptune-like,Kepler-1043 b,0.3846241630094044,6.036005656059355e-05,G,0,2.0862745098039217,0.9048327513183277
K02055.01,CFRM,0.023761541738535247,3.5317,540.6,Neptune-like,Kepler-1073 b,0.48721971159874616,6.30700999163753e-05,G,1,3.549019607843137,0.9245808292440929
K02056.01,CFRM,0.10763468829568788,5.0137,500.1,Neptune-like,Kepler-1787 b,0.4038335423197492,5.099808860425658e-05,F,0,2.1176470588235294,1.0090204321663625
K01854.01,CFRM,0.11782159178644765,6.571,541.6,Neptune-like,Kepler-984 b,0.3977214670846395,6.159189444958524e-05,G,0,1.8980392156862744,0.9070959941382786
K01917.01,CFRM,0.09585738193018481,2.868,436.7,Neptune-like,Kepler-1776 b,0.503373053291536,7.317117060610727e-05,G,0,2.364705882352941,1.0429779085742819
K01920.01,CFRM,0.04536890527036277,2.9052,644.9,Neptune-like,Kepler-1014 b,0.340093329153605,5.0012618293063214e-05,G,0,2.407843137254902,0.8603821871754487
K01921.01,CFRM,0.04381921032169747,6.5047,377.5,Neptune-like,Kepler-1015 b,0.8312422319749216,9.14023713631845e-05,F,0,4.078431372549019,1.4156320391206842
K01922.01,CFRM,0.005351200454483231,2.0944,392.8,Neptune-like,Kepler-1016 b,0.49595124764890275,5.863548351600516e-05,G,1,6.03921568627451,1.0101204367670658
K01998.01,CFRM,0.018546447200547572,2.6215,520.3,Neptune-like,Kepler-1044 b,0.476741868338558,6.159189444958524e-05,F,0,4.149019607843138,1.180488530385509
K02000.01,CFRM,0.0723078493908282,3.0715,991.1,Neptune-like,Kepler-1045 b,0.3204473730407523,6.036005656059355e-05,G,0,2.007843137254902,0.8072510432121643
K02066.01,CFRM,0.4051304859685147,6.854,1267.1,Neptune-like,Kepler-1678 b,0.41474796238244516,8.204040340684755e-05,G,0,1.2901960784313726,0.907953706084791
K02069.01,CFRM,0.21151286132785765,10.214,589.5,Neptune-like,Kepler-1080 b,0.591998144200627,9.115600378538617e-05,F,1,2.149019607843137,1.2081917730515557
K01858.01,CFRM,0.31849739603011634,7.025,1586.3,Neptune-like,Kepler-985 b,0.3645416300940439,8.031583036225916e-05,G,0,1.2666666666666666,0.8689393126443105
K01860.02,CFRM,0.033427837234770705,4.1808,538.1,Neptune-like,Kepler-416 c,0.4461814921630094,6.430193780536699e-05,G,1,3.1019607843137256,0.951739921868107
K00209.02,CFRM,0.051460404544832306,7.5235,2431.4,Neptune-like,Kepler-117 b,0.6138269843260188,0.00018206563999297398,F,0,3.3411764705882354,1.1055722681834221
K01928.01,CFRM,0.1725887381245722,7.3702,658.7,Neptune-like,Kepler-1675 b,0.4448717617554858,6.380920264977032e-05,G,1,1.8235294117647058,0.9771581601128662
K01788.01,CFRM,0.19582598050650238,5.9189,5904.3,Neptune-like,Kepler-951 b,0.33965675235109716,0.0001419077248118444,K,1,1.3333333333333333,0.7701506549327266
K01862.01,CFRM,0.15451059082819987,4.7381,580.0,Neptune-like,Kepler-986 b,0.43701337931034473,5.8389115938206816e-05,G,1,1.8235294117647058,0.8800040077894224
K01863.01,CFRM,0.09250870034223134,5.496,649.2,Neptune-like,Kepler-1673 b,0.4636445642633229,6.67656135833504e-05,F,0,2.396078431372549,1.1242568143306264
K01864.01,CFRM,0.008802489760438056,4.365,158.0,Neptune-like,Kepler-1772 b,0.40776273354231973,3.794060698094451e-05,G,0,4.529411764705882,0.9447355273232476
K01930.02,CFRM,0.06655989897330596,8.7682,184.4,Neptune-like,Kepler-338 c,0.739124526645768,5.666454289361842e-05,G,0,3.2588235294117647,1.088755623829978
K01930.03,CFRM,0.12164382176591375,10.306,238.5,Neptune-like,Kepler-338 d,0.739124526645768,6.430193780536699e-05,G,0,2.6666666666666665,1.088755623829978
K02010.01,CFRM,0.07107981018480493,6.2732,350.3,Neptune-like,Kepler-1051 b,0.7548412915360502,8.006946278446083e-05,F,0,3.3333333333333335,1.3372311406897242
K01866.01,CFRM,0.28830529582477754,6.214,1362.2,Neptune-like,Kepler-987 b,0.3820047021943574,7.834488973987243e-05,G,0,1.3764705882352941,0.9154457254584824
K01932.01,CFRM,0.06249011471594799,6.617,322.7,Neptune-like,Kepler-340 c,0.8059207774294671,8.277950614024257e-05,F,0,3.7098039215686276,1.4193185813529912
K01933.01,CFRM,0.13443151074606433,6.341,845.6,Neptune-like,Kepler-1018 b,0.4846002507836991,8.080856551785585e-05,G,1,1.9529411764705882,0.8959060155598447
K02012.01,CFRM,0.09542420342231347,5.333,767.7,Neptune-like,Kepler-1052 b,0.3702171285266458,5.9128218671601836e-05,G,0,2.0470588235294116,0.9406069852022413
K02016.01,CFRM,0.011790729336071183,4.1107,257.0,Neptune-like,Kepler-1054 b,0.4496741065830721,4.8041677670676495e-05,F,0,4.6156862745098035,1.1331592401331658
