kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec
11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,2.701287801,170.6957900,3.38270,8.6040e+02,6.54,1222.0,527.81,48.30,1,q1_q17_dr25_tce,5550.00,4.468,0.9100,297.923650,48.777321
11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.498765110,171.3490500,3.73620,4.6000e+02,2.10,1133.0,389.62,29.50,1,q1_q17_dr25_tce,6075.00,4.486,0.9690,298.456850,48.791592
11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,19.651209505,179.4019810,5.25140,1.1766e+04,12.42,730.0,67.03,513.40,1,q1_q17_dr25_tce,6074.00,4.391,1.0630,291.093900,48.933842
9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.412203927,133.1430890,2.94720,6.0160e+02,2.94,1093.0,337.68,166.70,1,q1_q17_dr25_tce,5779.00,4.339,1.0870,287.887330,46.276241
11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,41.439586620,208.9320300,10.59890,2.7931e+03,5.50,516.0,16.72,141.10,1,q1_q17_dr25_tce,5468.00,4.367,1.0460,295.555050,49.017342
11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.353895230,171.6325700,2.25140,1.0416e+03,2.52,790.0,91.90,43.40,1,q1_q17_dr25_tce,5592.00,4.582,0.7870,285.499240,49.277351
11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.125543472,169.7525850,3.17440,1.4873e+03,4.43,1243.0,565.35,128.60,1,q1_q17_dr25_tce,6174.00,4.417,1.1030,291.936160,49.253979
11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.816504904,170.9676846,2.50587,1.6814e+04,12.21,1219.0,521.13,1406.80,1,q1_q17_dr25_tce,5532.00,4.452,0.9550,297.015470,49.225288
11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,33.933734470,186.6760800,14.56100,8.5037e+03,7.34,430.0,8.11,236.10,1,q1_q17_dr25_tce,5040.00,4.628,0.7050,284.172330,49.360722
12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.689920099,170.3657100,2.65570,4.2670e+02,1.89,1147.0,408.99,35.60,1,q1_q17_dr25_tce,5880.00,4.518,0.9170,291.622410,50.618240
12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.431238488,171.0150000,3.15000,1.0109e+03,3.25,1104.0,351.23,71.10,1,q1_q17_dr25_tce,5714.00,4.428,1.0150,295.816160,51.121738
12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.379369860,133.8499200,2.62550,1.0235e+03,3.95,806.0,99.68,37.90,2,q1_q17_dr25_tce,5714.00,4.428,1.0150,295.816160,51.121738
12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,26.394328970,176.0545900,3.57300,1.5109e+03,3.07,489.0,13.49,48.20,1,q1_q17_dr25_tce,5129.00,4.595,0.7630,289.399720,51.250320
8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.570782810,136.2791940,3.35390,5.1170e+02,2.64,785.0,89.61,88.40,1,q1_q17_dr25_tce,5854.00,4.406,1.0120,300.863980,44.337551
9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.125943870,139.0049200,3.00140,1.9240e+02,1.79,997.0,233.31,47.10,2,q1_q17_dr25_tce,5779.00,4.339,1.0870,287.887330,46.276241
11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.0140,0,1,0,0,7.442652004,169.9717797,2.30780,2.4446e+04,15.03,967.0,206.78,835.60,1,q1_q17_dr25_tce,6108.00,4.469,0.9560,288.986820,49.733742
11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.384899880,172.7278200,3.02490,1.1271e+03,2.00,433.0,8.35,28.90,2,q1_q17_dr25_tce,4126.00,4.661,0.6150,286.738040,49.975750
11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.877416300,176.3759000,2.08050,1.3061e+03,2.16,553.0,22.18,38.70,1,q1_q17_dr25_tce,4126.00,4.661,0.6150,286.738040,49.975750
