toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_dist,st_teff,st_logg,st_rad
1906.01,308098254,KP,11h13m10.3s,168.292908,-17d39m28s,-17.657779,6.008,-7.754,2459299.077,9.6246665,4.297,10230,12.3182,121.918,925,310.841,5473,4.26,1.2
1907.01,453789494,KP,13h17m44.1s,199.433742,-47d14m15.27s,-47.237575,-15.976,0.505,2459338.261,5.4772024,5.4922783,8723.580707,20.5282052,2076.631206,1721.708381,538.11,6942,3.94,2.0919299
1908.01,37718056,KP,00h16m35.12s,4.146347,-10d58m35.12s,-10.976423,1.827,-1.504,2458384.094,3.65688,3.542,7040,12.8031,903.013,1527,524.993,6239,4.15,1.53
1909.01,232038798,KP,06h26m58.71s,96.744643,-46d49m16.91s,-46.821364,0.077,20.496,2459252.138,4.1536624,1.702,12310,12.7595,278.886,1138,303.941,5818.8,4.24,1.09
191.01,183532609,KP,23h59m36.21s,359.900874,-35d01m52.81s,-35.031335,109.747,7.614,2458358.92,8.1584545,4.4269549,14691.08225,12.7452371,138.8172262,875.4484741,89.9606,5600,4.50501,0.996641
1910.01,437261733,KP,11h21m17.84s,170.324325,-22d23m17.44s,-22.388177,-24.166,0.929,2459296.223,5.4161129,3.385,14310,13.3752,232.397,1087,642.884,5652,4.36,1.1
1911.01,44745133,KP,04h06m37.87s,61.657801,-25d20m58.8s,-25.349667,3.997,9.892,2459166.298,7.8181434,4.98,3650,9.95177,266.851,1125,679.761,5549,4,1.64
1912.01,50712784,KP,08h25m21.08s,126.337825,-11d30m03.56s,-11.500989,-5.388,-0.587,2459249.036,5.4053583,4.859,6770,13.4237,857.119,1507,343.08,6410,4.14,1.59
1913.01,53458803,KP,06h51m23.38s,102.847425,-29d03m31.16s,-29.058655,-16.382,-7.264,2459252.258,3.3489038,3.3546298,10987.17477,13.011038,740.224566,1330.333793,389.57,5711,4.27,1.2295901
1914.01,53750200,KP,06h54m04.17s,103.517356,-27d03m01.5s,-27.050416,-0.139,-4.758,2459232.244,4.1933422,1.8220996,4804.157266,11.5425702,1300.312519,1531.551784,737.668,6405,4.13,1.6277601
1915.01,98283926,KP,07h13m48.58s,108.452399,-33d26m14.45s,-33.437346,0.759,-2.879,2459253.248,2.2920348,3.1812507,10585.2906,13.2497142,1637.205807,1622.353794,800.377,6208,4.31,1.26526
